,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.42,0.67,0.72,0.62,0.68,0.6,0.29,0.29,0.35,0.27,0.27,0.32,0.22,0.26,0.28,0.28
e_1,0.48,0.42,0.7,0.63,0.71,0.68,0.38,0.41,0.46,0.31,0.31,0.42,0.28,0.44,0.32,0.3
c_1,0.6,0.58,0.39,0.82,0.77,0.65,0.37,0.2,0.36,0.3,0.29,0.28,0.23,0.26,0.26,0.25
d_1,0.74,0.78,0.62,0.37,0.63,0.57,0.37,0.41,0.25,0.34,0.33,0.3,0.26,0.32,0.36,0.19
b_1,0.73,0.7,0.44,0.75,0.36,0.87,0.35,0.31,0.34,0.42,0.36,0.31,0.26,0.27,0.27,0.24
a_1,0.75,0.72,0.62,0.79,0.38,0.31,0.42,0.38,0.39,0.32,0.42,0.29,0.29,0.29,0.4,0.3
h_1,0.7,0.6,0.65,0.57,0.69,0.52,0.24,0.27,0.34,0.27,0.26,0.28,0.27,0.25,0.27,0.24
d_0,0.64,0.4,0.82,0.83,0.7,0.56,0.38,0.24,0.42,0.29,0.26,0.26,0.27,0.35,0.3,0.26
g_1,0.68,0.52,0.63,0.72,0.69,0.61,0.29,0.26,0.21,0.28,0.28,0.3,0.2,0.29,0.24,0.25
c_0,0.75,0.64,0.95,0.39,0.58,0.65,0.33,0.39,0.33,0.22,0.38,0.31,0.24,0.29,0.32,0.24
b_0,0.69,0.58,0.85,0.52,0.79,0.5,0.37,0.32,0.35,0.17,0.21,0.26,0.23,0.29,0.32,0.22
f_0,0.77,0.55,0.71,0.66,0.62,0.56,0.32,0.32,0.25,0.27,0.28,0.21,0.25,0.3,0.25,0.16
h_0,0.69,0.58,0.73,0.6,0.6,0.5,0.41,0.27,0.36,0.28,0.27,0.27,0.28,0.26,0.25,0.25
e_0,0.77,0.67,0.7,0.59,0.59,0.57,0.31,0.26,0.32,0.29,0.27,0.18,0.23,0.19,0.27,0.2
a_0,0.61,0.59,0.71,0.56,0.77,0.67,0.37,0.27,0.36,0.24,0.18,0.34,0.27,0.31,0.19,0.23
g_0,0.7,0.61,0.68,0.67,0.61,0.51,0.29,0.3,0.36,0.3,0.28,0.29,0.19,0.26,0.27,0.26
