,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.95,0.48,0.51,0.69,0.49,0.35,0.39,0.57,0.31,0.3,0.36,0.34,0.33,0.22,0.23,0.29
f_1,0.92,0.95,0.46,0.5,0.41,0.31,0.34,0.4,0.32,0.37,0.27,0.3,0.3,0.16,0.27,0.26
d_1,0.57,0.65,0.96,0.43,0.49,0.35,0.38,0.29,0.3,0.57,0.32,0.36,0.31,0.27,0.24,0.27
c_1,0.48,0.55,0.56,0.95,0.83,0.37,0.4,0.32,0.3,0.23,0.33,0.22,0.32,0.23,0.19,0.29
b_1,0.55,0.59,0.58,0.49,0.94,0.73,0.4,0.38,0.36,0.38,0.32,0.26,0.35,0.27,0.21,0.3
a_1,0.66,0.78,0.64,0.68,0.44,0.94,0.42,0.46,0.37,0.34,0.38,0.37,0.41,0.32,0.25,0.31
h_1,0.81,1.07,0.87,0.8,0.68,0.48,0.78,0.47,0.69,0.48,0.44,0.42,0.39,0.35,0.37,0.53
d_0,0.72,0.79,0.72,1.32,0.86,0.55,0.62,0.72,0.55,0.39,0.54,0.48,0.49,0.4,0.45,0.45
g_1,0.84,0.84,1.19,0.86,0.72,0.6,0.49,0.47,0.78,0.52,0.67,0.43,0.42,0.35,0.35,0.34
c_0,0.99,0.93,0.82,0.83,0.57,0.62,0.63,0.7,0.54,0.73,0.54,0.85,0.52,0.37,0.51,0.5
f_0,0.78,0.81,0.97,1.0,0.84,0.66,0.68,0.6,0.55,0.57,0.71,0.54,0.52,0.7,0.43,0.44
b_0,0.92,1.05,0.82,1.12,0.66,0.41,0.7,0.65,0.64,0.45,0.52,0.71,0.57,0.43,0.75,0.51
h_0,0.93,1.23,1.0,0.93,0.83,0.69,0.62,0.68,0.78,0.57,0.56,0.53,0.49,0.4,0.4,0.57
e_0,0.88,1.24,1.04,1.05,0.78,0.63,0.8,0.7,0.76,0.67,0.46,0.6,0.7,0.67,0.61,0.57
a_0,1.1,1.01,1.08,1.11,0.94,0.52,0.78,0.66,0.75,0.65,0.57,0.51,0.57,0.37,0.64,0.48
g_0,0.88,0.97,1.38,0.88,0.94,0.67,0.64,0.59,0.64,0.68,0.81,0.53,0.53,0.47,0.51,0.48
