,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.86,0.6,0.98,0.92,0.72,0.53,0.51,0.49,0.35,0.43,0.4,0.46,,0.36,0.35
d_1,1.17,1.0,1.03,0.88,0.86,1.02,0.48,0.39,,0.58,0.32,0.39,0.37,0.37,0.28,0.2
f_1,1.67,0.97,1.0,0.95,0.89,0.61,0.4,0.53,0.51,0.43,,0.35,0.24,0.3,0.3,0.32
c_1,1.02,1.14,1.06,1.0,1.39,0.68,0.53,0.58,0.36,,0.46,0.37,0.46,0.32,0.35,0.3
b_1,1.09,1.16,1.12,0.72,1.0,1.12,0.58,0.51,0.58,0.63,0.43,,0.41,0.32,,0.39
a_1,1.39,0.98,1.63,1.46,0.89,1.0,0.76,0.6,0.44,0.53,0.56,0.53,0.43,0.48,,0.48
h_1,1.89,2.08,2.51,1.89,1.74,1.31,1.0,1.32,0.85,0.96,0.58,0.6,,0.93,0.64,0.84
g_1,1.95,2.57,1.89,1.72,1.95,1.66,0.76,1.0,1.05,0.93,1.52,0.98,0.57,0.69,0.68,
d_0,2.02,,1.98,2.76,1.73,2.25,1.18,0.95,1.0,1.03,0.83,0.77,0.84,0.84,0.63,0.7
c_0,2.86,1.72,2.35,,1.59,1.88,1.04,1.07,0.97,1.0,1.23,1.22,0.87,0.67,0.7,0.72
f_0,2.32,3.08,,2.16,2.33,1.78,1.71,0.66,1.2,0.82,1.0,1.12,0.93,1.17,0.77,0.64
b_0,2.52,2.55,2.83,2.69,,1.9,1.66,1.02,1.29,0.82,0.89,1.0,0.67,0.56,1.11,0.73
h_0,2.19,2.72,4.09,2.18,2.45,2.3,,1.76,1.18,1.15,1.08,1.49,,0.88,0.86,0.84
e_0,,2.67,3.32,3.12,3.16,2.06,1.08,1.44,1.19,1.48,0.85,1.77,1.14,1.0,,1.01
a_0,2.75,3.53,3.28,2.86,,,1.56,1.48,1.58,1.44,1.3,0.9,1.17,,1.0,0.88
g_0,2.83,4.98,3.1,3.37,2.55,2.08,1.2,,1.43,1.38,1.57,1.36,1.2,0.99,1.14,
