,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.89,0.27,0.17,0.24,0.16,0.11,0.22,0.37,0.2,0.13,0.21,0.16,0.22,0.13,0.15,0.06
f_1,0.43,0.89,0.21,0.17,0.16,0.11,0.19,0.19,0.17,0.11,0.17,0.07,0.15,0.11,0.12,0.06
d_1,0.24,0.25,0.9,0.15,0.14,0.12,0.22,0.09,0.39,0.17,0.2,0.19,0.21,0.11,0.18,0.12
c_1,0.23,0.24,0.21,0.89,0.31,0.09,0.2,0.2,0.07,0.12,0.11,0.16,0.15,0.12,0.15,0.12
b_1,0.23,0.27,0.21,0.17,0.88,0.25,0.19,0.21,0.2,0.12,0.08,0.13,0.18,0.08,0.14,0.11
a_1,0.23,0.27,0.21,0.22,0.16,0.87,0.22,0.21,0.17,0.15,0.16,0.14,0.18,0.05,0.17,0.12
h_1,0.29,0.4,0.25,0.24,0.21,0.15,0.57,0.25,0.21,0.23,0.22,0.2,0.17,0.11,0.24,0.13
d_0,0.3,0.28,0.17,0.47,0.23,0.14,0.24,0.43,0.17,0.15,0.21,0.2,0.22,0.12,0.18,0.13
c_0,0.32,0.32,0.28,0.17,0.15,0.16,0.29,0.26,0.45,0.16,0.45,0.24,0.25,0.17,0.2,0.12
g_1,0.3,0.22,0.4,0.24,0.17,0.11,0.25,0.24,0.27,0.57,0.23,0.34,0.2,0.13,0.09,0.15
b_0,0.28,0.34,0.34,0.25,0.13,0.11,0.26,0.23,0.22,0.19,0.46,0.2,0.25,0.3,0.2,0.14
f_0,0.19,0.18,0.32,0.28,0.28,0.18,0.26,0.25,0.27,0.2,0.23,0.43,0.26,0.15,0.2,0.33
h_0,0.27,0.43,0.28,0.25,0.18,0.15,0.15,0.25,0.24,0.22,0.26,0.15,0.14,0.12,0.24,0.13
a_0,0.32,0.28,0.31,0.26,0.25,0.08,0.28,0.27,0.23,0.17,0.24,0.18,0.25,0.39,0.16,0.11
g_0,0.18,0.23,0.46,0.24,0.25,0.15,0.22,0.21,0.24,0.11,0.23,0.33,0.23,0.14,0.14,0.19
e_0,0.15,0.36,0.23,0.28,0.25,0.21,0.26,0.28,0.23,0.16,0.2,0.22,0.25,0.14,0.17,0.39
