,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.4,0.91,0.56,0.92,0.8,0.68,0.44,0.5,0.37,0.57,0.41,0.4,0.3,0.39,0.58,0.43
d_1,0.92,0.4,0.91,0.86,0.77,0.78,0.43,0.66,0.39,0.3,0.38,0.32,0.3,0.2,0.37,0.34
f_1,0.85,0.8,0.4,0.85,0.71,0.78,0.35,0.33,0.35,0.48,0.34,0.52,0.26,0.38,0.36,0.39
c_1,0.67,0.93,0.74,0.4,1.1,0.76,0.43,0.22,0.45,0.4,0.34,0.38,0.31,0.29,0.35,0.31
b_1,0.82,0.85,1.02,0.45,0.37,1.34,0.44,0.37,0.41,0.46,0.49,0.32,0.36,0.33,0.35,0.32
a_1,1.05,0.84,0.76,0.96,0.44,0.3,0.48,0.41,0.36,0.58,0.48,0.41,0.34,0.33,0.32,0.49
h_1,0.73,0.8,0.85,0.69,0.73,0.6,0.24,0.31,0.33,0.4,0.3,0.28,0.33,0.27,0.29,0.32
d_0,0.42,0.89,0.79,0.99,0.78,0.63,0.43,0.25,0.3,0.44,0.37,0.3,0.27,0.29,0.35,0.3
c_0,0.74,0.47,0.82,0.99,0.76,0.69,0.42,0.48,0.25,0.39,0.37,0.33,0.29,0.29,0.35,0.32
g_1,0.66,0.8,0.77,0.76,0.73,0.63,0.32,0.33,0.37,0.22,0.4,0.37,0.22,0.28,0.34,0.3
b_0,0.72,0.62,0.85,0.95,1.05,0.63,0.39,0.31,0.2,0.35,0.23,0.3,0.3,0.3,0.28,0.32
f_0,0.66,0.69,0.99,0.76,0.8,0.6,0.39,0.37,0.31,0.26,0.32,0.23,0.29,0.21,0.34,0.29
h_0,0.7,0.66,0.69,0.75,0.66,0.69,0.45,0.35,0.31,0.49,0.31,0.32,0.36,0.29,0.25,0.26
g_0,0.58,0.85,0.8,0.82,0.7,0.68,0.33,0.37,0.3,0.45,0.3,0.31,0.22,0.35,0.3,0.28
e_0,0.89,0.57,0.89,0.78,0.78,0.69,0.4,0.37,0.33,0.31,0.35,0.21,0.31,0.28,0.19,0.28
a_0,0.66,0.64,0.79,0.81,0.82,0.88,0.4,0.32,0.32,0.42,0.21,0.33,0.34,0.3,0.35,0.2
