,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,6.06,0.64,0.49,0.47,0.64,0.57,2.03,2.28,5.62,3.34,0.77,3.39,4.39,2.28,3.19,5.03
f_1,0.55,6.1,1.12,0.51,0.56,0.7,2.22,1.7,2.51,3.08,2.66,0.48,3.18,2.87,2.46,3.9
e_1,0.5,0.61,6.13,0.75,0.67,0.57,2.21,2.04,2.45,2.45,6.34,2.82,4.23,2.38,0.54,2.99
c_1,0.63,0.5,0.64,6.78,0.99,0.41,2.16,2.4,0.56,2.21,3.63,3.6,3.84,3.03,2.73,4.54
b_1,0.53,0.74,0.56,0.49,7.55,1.25,2.18,1.75,2.79,0.44,2.04,2.56,3.9,3.17,2.48,4.32
a_1,0.6,0.66,0.68,0.56,0.35,9.81,2.47,1.94,2.87,3.72,3.16,2.43,6.07,0.69,3.59,3.9
h_1,1.25,1.41,0.74,1.16,1.02,0.76,15.18,4.85,4.53,5.07,3.17,4.65,2.38,4.78,5.36,10.1
g_1,1.87,0.79,0.79,1.1,0.95,0.84,3.42,17.5,3.83,4.55,3.35,7.6,8.27,4.53,4.63,3.31
c_0,1.22,1.17,1.01,0.42,0.94,1.15,3.96,4.4,13.79,11.36,5.13,7.41,9.26,6.17,5.94,8.61
b_0,1.19,1.25,1.05,1.28,0.36,0.81,4.11,3.97,5.11,14.24,5.8,6.33,8.23,10.68,5.51,7.28
d_0,0.32,1.0,1.07,2.49,0.86,0.76,3.55,4.11,4.06,4.73,13.46,5.28,8.08,5.76,5.12,5.34
f_0,1.19,0.64,0.89,1.28,1.44,0.88,3.44,4.18,4.23,5.46,4.75,16.46,8.61,4.61,12.4,8.18
h_0,1.39,1.22,0.89,1.06,1.01,0.76,1.87,4.92,4.67,6.0,5.24,6.25,3.38,4.8,6.69,8.99
a_0,1.21,1.19,0.85,1.2,0.96,0.29,4.85,4.21,5.37,5.56,6.32,7.19,9.73,20.9,5.05,11.56
e_0,1.32,1.13,0.19,1.41,1.01,1.01,3.93,5.21,4.76,6.27,4.24,5.57,8.83,7.71,21.98,8.75
g_0,1.66,0.82,0.76,0.98,1.22,0.99,4.13,1.75,4.71,5.27,5.34,8.85,6.79,4.13,5.43,3.92
