,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.71,0.71,0.62,0.63,0.62,0.29,0.31,0.39,0.29,0.31,0.37,0.21,0.29,0.28,0.26
e_1,0.47,0.41,0.79,0.7,0.73,0.64,0.36,0.38,0.43,0.34,0.31,0.36,0.26,0.31,0.46,0.32
c_1,0.7,0.55,0.39,0.75,0.77,0.66,0.37,0.22,0.34,0.31,0.27,0.28,0.28,0.28,0.3,0.24
d_1,0.73,0.79,0.7,0.38,0.7,0.55,0.32,0.39,0.24,0.32,0.31,0.26,0.23,0.29,0.26,0.18
b_1,0.77,0.64,0.42,0.76,0.36,0.87,0.44,0.31,0.39,0.4,0.46,0.35,0.26,0.3,0.3,0.27
a_1,0.79,0.67,0.65,0.75,0.39,0.3,0.45,0.33,0.42,0.31,0.49,0.33,0.3,0.42,0.31,0.24
h_1,0.66,0.62,0.62,0.66,0.58,0.56,0.23,0.28,0.37,0.29,0.27,0.29,0.28,0.26,0.27,0.27
d_0,0.6,0.44,0.78,0.71,0.67,0.61,0.39,0.25,0.38,0.27,0.3,0.28,0.26,0.3,0.3,0.29
g_1,0.68,0.61,0.67,0.67,0.63,0.5,0.28,0.29,0.21,0.29,0.28,0.3,0.21,0.26,0.29,0.29
c_0,0.68,0.66,0.99,0.41,0.64,0.59,0.35,0.38,0.31,0.23,0.33,0.3,0.29,0.31,0.28,0.27
b_0,0.61,0.65,0.82,0.5,0.81,0.56,0.35,0.29,0.34,0.19,0.21,0.31,0.29,0.32,0.25,0.26
f_0,0.74,0.61,0.68,0.72,0.52,0.57,0.33,0.32,0.23,0.29,0.28,0.21,0.25,0.25,0.32,0.19
h_0,0.64,0.67,0.62,0.62,0.64,0.5,0.36,0.3,0.38,0.26,0.27,0.25,0.28,0.27,0.26,0.26
a_0,0.61,0.63,0.59,0.6,0.72,0.74,0.33,0.29,0.38,0.25,0.18,0.31,0.24,0.19,0.3,0.21
e_0,0.79,0.64,0.6,0.62,0.6,0.61,0.35,0.28,0.26,0.26,0.28,0.16,0.24,0.25,0.18,0.24
g_0,0.64,0.59,0.67,0.71,0.63,0.58,0.25,0.27,0.38,0.27,0.27,0.29,0.19,0.29,0.27,0.26
