,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.46,29.34,30.0,34.06,24.82,30.52,6.32,6.01,11.51,8.01,5.74,,3.25,5.86,11.85,4.57
e_1,18.16,0.45,34.45,32.02,30.81,40.32,9.98,6.54,9.4,8.56,7.64,6.67,4.18,7.21,,5.51
c_1,38.56,42.9,0.43,31.51,38.28,31.92,9.02,4.29,8.36,,7.32,7.46,5.39,6.91,4.7,4.09
d_1,42.24,40.61,36.16,0.42,34.82,32.6,7.91,,7.38,5.47,6.69,6.73,4.63,11.42,6.12,3.64
b_1,29.17,47.06,23.41,36.98,0.39,35.54,12.63,8.33,10.77,8.13,,6.33,5.53,7.76,5.5,5.3
a_1,42.54,64.45,43.04,45.19,24.28,0.33,14.4,10.53,,11.13,10.29,8.67,5.05,,,
h_1,16.87,18.28,18.82,19.76,14.2,16.23,0.38,4.29,4.41,3.54,3.0,3.14,,4.83,3.72,1.84
d_0,17.26,7.83,16.08,,17.79,14.93,4.04,0.5,4.99,2.34,3.17,3.81,2.33,2.62,3.27,2.47
g_1,22.31,17.65,24.31,21.27,19.68,,4.61,4.66,0.32,5.59,6.2,4.35,2.08,3.91,4.43,
c_0,15.09,12.54,,10.11,28.02,13.84,4.03,3.12,4.23,0.47,3.29,5.55,2.61,2.35,2.72,2.2
b_0,18.59,26.41,14.98,16.2,,20.41,3.38,3.29,4.07,1.65,0.48,3.73,1.81,,3.43,2.52
f_0,,16.42,14.61,22.31,17.2,15.61,5.76,3.47,2.24,5.17,4.06,0.44,2.99,5.29,2.96,1.67
h_0,13.8,15.86,12.14,10.43,11.21,16.42,,1.75,4.41,2.42,2.37,2.21,,2.01,2.24,2.52
a_0,22.87,23.45,28.72,19.58,33.14,,5.57,4.54,4.86,4.05,,2.87,2.51,0.37,,4.06
e_0,27.54,,23.58,34.78,30.84,,4.93,4.01,6.99,4.19,4.1,1.4,3.21,,0.37,
g_0,13.52,13.82,12.69,12.11,11.89,,4.07,3.15,,2.85,2.53,5.24,1.4,2.72,,
