,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.31,0.24,0.18,0.17,0.22,0.17,0.38,0.4,0.96,0.54,0.12,0.5,0.6,0.3,0.41,0.6
f_1,0.21,2.31,0.42,0.18,0.19,0.21,0.41,0.29,0.43,0.5,0.42,0.07,0.43,0.38,0.32,0.46
e_1,0.19,0.23,2.32,0.27,0.23,0.17,0.41,0.35,0.42,0.4,1.01,0.42,0.58,0.32,0.07,0.36
c_1,0.24,0.19,0.24,2.44,0.34,0.12,0.4,0.42,0.1,0.36,0.58,0.53,0.52,0.4,0.35,0.54
b_1,0.2,0.28,0.21,0.18,2.57,0.37,0.41,0.3,0.48,0.07,0.32,0.38,0.53,0.42,0.32,0.51
a_1,0.23,0.25,0.26,0.2,0.12,2.92,0.46,0.34,0.49,0.6,0.5,0.36,0.83,0.09,0.46,0.46
h_1,0.48,0.53,0.28,0.42,0.35,0.22,2.83,0.84,0.78,0.82,0.5,0.69,0.32,0.64,0.69,1.2
g_1,0.71,0.3,0.3,0.4,0.32,0.25,0.64,3.03,0.66,0.74,0.53,1.12,1.13,0.6,0.6,0.4
c_0,0.46,0.44,0.38,0.15,0.32,0.34,0.74,0.76,2.36,1.84,0.81,1.1,1.26,0.82,0.77,1.03
b_0,0.45,0.47,0.4,0.46,0.12,0.24,0.77,0.69,0.87,2.3,0.92,0.94,1.12,1.42,0.71,0.87
d_0,0.12,0.38,0.41,0.9,0.29,0.23,0.66,0.71,0.69,0.77,2.14,0.78,1.1,0.77,0.66,0.64
f_0,0.45,0.24,0.34,0.46,0.49,0.26,0.64,0.72,0.72,0.88,0.76,2.43,1.17,0.61,1.6,0.97
h_0,0.53,0.46,0.34,0.38,0.34,0.23,0.35,0.85,0.8,0.97,0.83,0.92,0.46,0.64,0.87,1.07
a_0,0.46,0.45,0.32,0.43,0.32,0.09,0.91,0.73,0.92,0.9,1.0,1.06,1.33,2.78,0.65,1.38
e_0,0.5,0.43,0.07,0.51,0.34,0.3,0.73,0.9,0.81,1.01,0.67,0.82,1.2,1.03,2.84,1.04
g_0,0.63,0.31,0.29,0.35,0.41,0.3,0.77,0.3,0.81,0.85,0.85,1.31,0.93,0.55,0.7,0.47
