,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.35,0.87,1.04,0.64,0.76,0.54,1.34,3.1,1.59,1.23,1.84,1.75,1.67,2.09,1.01,1.89
f_1,1.43,2.38,0.84,0.64,0.69,0.6,1.4,1.85,1.65,1.14,1.64,0.87,1.43,2.04,0.82,1.74
c_1,0.79,0.78,2.43,0.81,1.41,0.61,1.55,1.57,1.0,1.37,1.22,1.44,1.25,1.83,1.4,1.6
d_1,0.75,1.02,0.66,2.49,0.76,0.56,1.68,1.09,3.09,1.6,1.81,1.61,1.57,2.02,1.2,1.92
b_1,0.82,0.8,0.81,0.86,2.57,1.24,1.68,1.77,1.57,1.11,1.02,1.51,1.09,1.93,1.23,1.97
a_1,0.77,0.88,0.86,0.92,0.77,3.13,1.61,1.49,1.93,1.42,1.73,1.68,0.87,2.6,1.64,2.11
h_1,0.86,1.12,0.8,1.13,0.76,0.69,3.27,1.54,1.91,2.07,1.77,1.54,1.48,1.61,1.59,2.81
d_0,0.91,0.93,1.65,0.55,0.9,0.61,1.59,3.0,1.4,1.47,1.93,1.69,1.7,2.44,1.64,1.79
c_0,0.89,0.95,0.78,1.03,0.71,0.68,1.83,1.97,3.12,1.76,3.55,2.07,2.1,2.4,1.78,2.5
g_1,0.79,0.9,0.89,1.43,0.74,0.59,1.66,1.55,2.05,3.6,1.93,2.62,1.5,2.48,1.73,1.4
b_0,0.89,0.95,0.94,1.11,0.6,0.76,1.85,1.87,1.92,1.86,3.04,1.82,3.17,2.25,1.68,2.16
f_0,0.83,0.69,0.97,1.02,0.87,0.67,1.84,2.17,2.19,1.5,2.4,3.43,1.81,2.38,3.63,2.03
a_0,1.0,1.06,1.11,0.86,0.79,0.39,1.79,2.25,1.91,1.79,2.0,1.79,3.43,2.41,1.63,2.18
h_0,0.87,1.33,0.97,0.96,0.71,0.76,1.22,1.84,1.69,2.07,2.01,1.87,1.49,1.81,1.61,2.6
e_0,0.54,0.87,1.26,1.04,1.02,0.76,1.73,2.01,1.5,1.57,1.93,1.86,1.56,2.85,3.73,2.2
g_0,0.88,0.77,0.88,1.45,0.84,0.77,1.81,1.76,2.08,1.11,2.03,2.47,1.59,2.28,1.61,1.54
