,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.68,3.22,6.45,4.8,6.69,4.72,2.93,2.04,2.66,2.74,2.27,2.23,1.35,1.83,,2.05
f_1,7.53,0.67,6.18,5.83,5.46,6.35,1.71,2.66,2.28,1.82,2.12,,1.13,2.18,1.85,1.57
d_1,6.08,5.24,0.66,6.19,4.88,5.46,2.65,3.33,2.09,,2.08,2.18,1.64,1.75,2.4,1.05
c_1,7.27,6.3,5.01,0.63,7.01,5.59,2.86,,2.81,1.32,2.57,2.23,1.8,2.45,2.23,1.82
b_1,6.33,8.04,7.61,3.85,0.61,7.18,3.41,2.33,2.15,2.46,,2.35,1.94,2.31,2.42,2.14
a_1,7.14,6.24,7.06,7.38,4.7,0.58,3.42,2.82,2.73,2.48,2.81,2.25,2.85,,,2.32
h_1,4.94,6.26,4.68,4.97,3.82,4.61,0.61,1.59,2.39,2.34,1.76,1.95,,1.64,1.26,1.77
c_0,4.76,4.08,2.82,,6.03,4.24,2.19,0.71,2.03,1.5,1.88,1.84,2.01,1.75,1.58,1.43
g_1,7.0,8.9,6.3,4.52,6.81,5.09,1.77,2.09,0.58,2.02,1.8,1.82,1.32,,1.74,
d_0,2.77,5.62,,7.82,4.67,6.48,1.8,2.63,2.22,0.71,1.87,1.35,1.43,1.35,1.85,1.38
b_0,5.53,5.34,5.68,5.4,,4.9,2.28,1.18,1.94,1.47,0.69,2.14,1.35,2.43,1.89,1.49
f_0,6.08,,5.43,4.32,4.29,4.78,2.14,1.71,1.92,2.31,1.8,0.67,1.35,2.1,2.18,1.26
h_0,4.83,5.48,4.59,4.79,3.8,4.23,,1.43,2.39,1.51,1.95,1.67,,1.15,1.3,1.22
a_0,6.67,5.57,5.96,6.82,6.98,,2.77,1.9,,2.78,1.14,2.38,2.49,0.62,2.02,1.25
e_0,,6.83,5.5,6.5,5.73,,3.15,2.12,2.75,2.53,2.22,1.34,2.03,1.97,0.6,1.63
g_0,4.39,5.9,6.7,4.4,5.0,4.79,2.13,1.63,,1.56,1.65,1.87,1.19,2.16,1.59,
