,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.47,1.54,2.02,1.47,1.68,1.58,3.13,5.17,3.3,3.2,3.97,3.88,4.12,4.72,3.74,4.75
f_1,2.34,2.52,1.74,1.39,1.55,1.48,2.91,3.92,3.37,2.88,3.77,2.88,3.66,4.08,2.9,4.62
c_1,1.45,1.56,2.58,1.73,2.49,1.89,3.27,3.05,2.8,3.2,2.89,3.46,3.13,4.14,3.85,4.28
d_1,1.66,1.98,1.46,2.63,1.65,1.55,3.31,3.07,5.14,3.22,3.87,3.69,4.14,4.5,3.56,4.23
b_1,1.62,1.66,1.5,1.77,2.73,2.57,3.59,3.43,3.56,3.1,3.25,3.64,3.3,4.67,3.47,4.72
a_1,1.6,1.84,1.69,1.85,1.5,3.34,3.44,3.27,3.92,3.58,3.78,3.73,3.33,5.27,4.16,4.85
h_1,1.72,2.01,1.63,2.01,1.56,1.62,4.31,3.11,3.61,4.03,3.78,3.46,3.75,4.25,4.03,5.62
d_0,1.49,1.68,2.57,1.52,1.88,1.64,3.46,4.33,3.07,3.57,3.85,3.63,3.94,4.98,4.18,4.44
c_0,1.71,1.71,1.71,1.77,1.59,1.74,3.37,3.78,4.56,3.72,5.72,3.98,4.93,5.09,4.73,5.22
g_1,1.66,1.81,1.66,2.27,1.64,1.61,3.18,3.19,3.8,4.76,3.77,4.86,3.6,4.57,4.37,4.17
b_0,1.7,1.78,1.91,1.86,1.57,1.7,3.51,3.57,3.32,3.83,4.63,3.64,6.13,4.74,4.56,4.85
f_0,1.49,1.69,1.83,1.81,1.74,1.77,3.7,3.9,4.14,3.18,4.29,4.95,4.46,4.76,7.15,4.15
a_0,1.67,1.93,2.11,1.71,1.75,1.29,3.46,3.85,3.53,3.72,3.42,3.83,5.25,4.89,4.25,4.93
h_0,1.63,2.13,1.86,1.8,1.55,1.71,2.89,3.5,3.23,4.05,3.96,3.78,3.47,4.17,3.7,5.67
e_0,1.32,1.87,2.14,1.94,2.0,1.79,3.29,3.63,3.06,3.33,3.78,3.14,3.47,5.25,5.76,4.86
g_0,1.57,1.55,1.66,2.29,1.68,1.74,3.16,3.51,3.84,3.15,4.07,4.76,3.78,4.31,4.27,4.38
