,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,0.91,1.13,1.09,1.0,0.97,1.43,1.12,0.94,1.13,1.26,0.91,1.05,1.06,1.16
f_1,1.23,1.0,0.97,1.04,0.88,0.83,0.82,1.0,1.1,0.93,0.9,0.87,1.05,0.9,0.81,0.97
d_1,1.09,1.04,1.0,0.91,0.91,0.96,1.12,1.0,0.84,1.28,1.12,0.95,1.07,0.96,1.01,0.85
c_1,0.88,0.96,1.12,1.0,1.32,0.97,1.03,0.71,0.94,0.81,0.8,0.96,0.93,1.0,0.96,1.05
b_1,0.91,1.12,1.08,0.76,1.0,1.41,1.02,0.98,1.02,1.12,0.95,0.95,0.88,1.06,1.1,0.89
a_1,1.0,1.15,1.04,1.04,0.74,1.0,1.19,0.92,1.08,1.07,1.19,1.03,0.92,1.15,0.94,1.08
h_1,1.01,1.2,0.94,0.95,0.97,0.85,1.0,0.94,1.09,0.9,0.91,0.89,0.96,1.03,0.99,1.15
d_0,0.71,0.99,1.01,1.41,1.05,1.04,1.01,1.0,1.09,0.8,0.99,0.97,1.07,1.08,1.07,1.01
g_1,0.87,0.94,1.19,1.08,0.96,0.9,0.95,0.89,1.0,1.0,0.93,1.22,1.15,0.85,1.11,1.05
c_0,1.03,1.11,0.8,1.26,0.85,0.92,1.14,1.2,1.0,1.0,1.39,1.07,1.18,1.02,1.03,1.08
b_0,0.91,1.09,0.88,1.21,1.06,0.81,1.13,0.97,1.05,0.73,1.0,0.95,1.48,1.09,1.0,1.07
f_0,0.79,1.2,1.05,1.04,1.07,0.88,1.11,1.0,0.83,0.92,1.05,1.0,0.99,1.02,1.42,0.9
a_0,1.07,0.98,0.91,1.03,1.12,1.05,1.07,0.98,0.91,0.85,0.68,1.01,1.0,1.04,1.04,1.01
h_0,0.97,1.11,1.05,0.97,0.95,0.9,0.95,0.94,1.16,0.96,0.94,0.95,0.98,1.0,0.89,1.16
e_0,1.0,1.26,0.96,1.04,0.9,1.07,0.93,0.96,0.86,1.02,1.05,0.71,0.96,1.12,1.0,0.97
g_0,0.88,1.01,1.21,0.94,1.11,0.93,0.87,0.97,0.95,0.97,0.96,1.15,0.99,0.88,1.1,1.0
