,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.77,1.58,1.51,1.79,1.38,1.56,5.45,12.5,4.51,6.31,7.37,7.29,11.71,6.18,11.91,4.03
f_1,2.57,6.07,1.53,1.42,1.28,1.07,5.16,7.02,5.06,6.86,7.76,3.2,12.06,6.97,9.8,5.33
d_1,1.54,1.69,6.36,1.17,1.28,1.31,5.72,2.76,7.21,13.52,7.44,7.45,10.76,9.62,10.71,7.26
c_1,1.19,1.53,1.26,6.85,3.05,1.46,5.65,7.75,5.07,3.41,5.86,6.5,10.41,7.74,9.52,8.0
b_1,1.28,1.39,1.5,1.65,7.75,3.18,5.41,7.24,4.78,6.3,3.43,7.76,8.34,5.9,8.46,9.62
a_1,1.55,1.87,1.33,1.71,1.54,10.4,5.33,7.15,5.09,5.75,5.69,6.91,10.74,3.1,11.69,7.38
h_1,1.75,2.55,1.99,1.62,1.58,1.96,17.36,8.53,8.32,8.8,9.28,9.15,8.42,7.54,19.39,9.96
d_0,1.76,1.92,0.95,3.92,2.06,1.52,6.51,15.9,5.83,5.05,8.12,8.31,14.28,10.47,12.69,9.64
g_1,1.53,1.7,2.99,1.76,1.7,1.32,6.19,7.58,21.43,8.63,9.16,13.08,13.41,10.98,7.5,10.44
c_0,1.8,2.09,2.02,1.29,1.22,1.87,8.38,6.83,7.15,17.41,17.65,10.08,16.02,12.01,16.13,11.48
b_0,1.92,1.88,2.11,1.97,0.96,1.63,7.19,9.92,6.44,8.51,19.18,11.33,15.17,21.75,15.98,11.17
f_0,1.46,1.31,1.89,2.08,2.23,1.87,7.78,9.43,7.4,7.87,9.57,19.38,14.08,10.29,16.72,20.46
h_0,1.78,2.55,2.05,1.94,1.72,1.3,4.11,8.1,9.28,7.79,9.86,9.58,7.9,8.87,16.06,9.18
a_0,1.86,2.15,2.03,2.08,1.84,0.65,7.2,8.3,7.52,8.08,9.98,10.06,17.59,26.15,12.85,9.55
g_0,1.68,1.45,3.04,2.09,1.81,1.82,5.84,7.89,4.21,6.91,8.5,14.26,12.6,8.94,9.98,12.88
e_0,0.87,1.96,2.06,2.66,2.11,2.26,6.56,7.63,6.41,7.69,9.69,9.88,14.72,8.61,11.93,27.23
