,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.32,0.86,0.78,0.82,0.66,0.4,0.44,0.41,0.41,0.33,0.33,0.26,0.24,0.26,0.32
e_1,0.75,1.0,1.23,0.89,0.79,0.8,0.5,0.61,0.37,0.43,0.44,0.42,0.4,0.36,0.34,0.32
c_1,1.16,0.82,1.0,1.04,1.33,0.8,0.56,0.33,0.38,0.39,0.31,0.37,0.36,0.35,0.28,0.29
d_1,1.28,1.13,0.96,1.0,0.91,0.66,0.46,0.48,0.56,0.36,0.44,0.38,0.42,0.28,0.33,0.25
b_1,1.22,1.26,0.76,1.1,1.0,1.21,0.52,0.49,0.47,0.47,0.46,0.44,0.43,0.34,0.3,0.34
a_1,1.51,1.23,1.27,1.54,0.83,1.0,0.77,0.7,0.61,0.71,0.75,0.55,0.44,0.47,0.87,0.42
h_1,2.45,2.13,1.78,2.12,1.86,1.26,1.0,0.93,0.78,1.1,0.74,0.78,0.73,0.67,0.72,0.78
d_0,2.25,1.66,3.02,2.04,2.34,1.41,1.07,1.0,0.93,1.0,0.94,0.88,0.77,0.74,0.59,0.76
c_0,2.6,2.43,2.84,1.74,2.08,1.58,1.25,1.09,1.0,1.05,1.31,1.01,0.81,0.71,0.77,0.74
g_1,2.41,2.23,2.56,2.76,2.16,1.54,0.91,1.0,0.96,1.0,0.88,1.04,0.72,0.83,0.84,0.45
b_0,2.88,2.31,3.3,2.15,2.49,1.36,1.3,1.09,0.78,1.17,1.0,0.88,0.9,0.88,1.16,0.74
f_0,2.99,2.54,2.64,2.59,2.29,1.76,1.32,1.13,0.97,0.92,1.08,1.0,0.97,1.19,0.91,0.64
h_0,3.8,2.53,2.87,2.45,2.23,2.18,1.38,1.35,1.23,1.38,1.14,1.02,1.0,0.82,0.79,1.09
e_0,4.27,2.71,2.96,3.5,2.84,2.12,1.54,1.3,1.41,1.2,1.1,0.9,1.18,1.0,1.07,1.06
a_0,3.85,2.96,3.43,3.22,3.58,,1.43,1.68,1.28,1.26,0.84,1.09,1.27,1.07,1.0,0.93
g_0,3.12,3.22,3.52,3.97,2.88,2.49,1.33,1.35,1.38,1.99,1.37,1.54,0.88,0.93,1.06,1.0
