,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.96,0.79,1.16,0.96,0.76,0.74,0.93,0.65,0.8,0.68,0.7,0.58,0.67,0.63,0.62
d_1,1.02,1.0,1.08,0.93,0.88,0.81,0.69,0.75,0.83,0.53,0.72,0.59,0.61,0.46,0.62,0.59
f_1,1.28,0.92,1.0,1.07,0.85,0.83,0.58,0.63,0.6,0.69,0.57,0.59,0.55,0.59,0.49,0.53
c_1,0.88,1.05,0.95,1.0,1.39,0.8,0.73,0.45,0.61,0.64,0.53,0.62,0.58,0.54,0.55,0.46
b_1,1.04,1.13,1.17,0.71,1.0,1.47,0.77,0.66,0.72,0.69,0.65,0.63,0.69,0.64,0.58,0.53
a_1,1.28,1.22,1.24,1.26,0.69,1.0,0.9,0.84,0.74,0.87,0.87,0.82,0.73,0.72,0.65,0.65
h_1,1.35,1.49,1.76,1.36,1.26,1.08,1.0,0.88,0.86,1.1,0.85,0.82,0.81,0.89,0.74,0.84
d_0,1.08,1.32,1.55,2.21,1.58,1.19,1.17,1.0,0.78,1.09,0.99,0.88,0.84,0.82,0.83,0.86
c_0,1.58,1.25,1.69,1.66,1.37,1.26,1.09,1.27,1.0,0.95,1.25,0.99,0.95,0.89,0.9,0.97
g_1,1.21,1.83,1.44,1.54,1.46,1.15,0.92,0.95,1.06,1.0,1.07,1.11,0.76,0.8,0.94,0.8
b_0,1.5,1.44,1.86,1.82,1.5,1.09,1.16,0.99,0.78,0.98,1.0,0.91,0.99,1.0,0.79,1.16
f_0,1.4,1.69,1.69,1.66,1.54,1.25,1.19,1.14,1.06,0.88,1.1,1.0,0.98,0.81,1.17,0.89
h_0,1.69,1.65,1.88,1.74,1.45,1.33,1.2,1.2,1.02,1.31,1.02,1.04,1.0,1.1,0.8,0.85
g_0,1.51,2.19,1.76,1.87,1.6,1.42,1.08,1.16,1.12,1.26,0.97,1.25,0.89,1.0,0.96,0.91
e_0,1.64,1.62,2.06,1.83,1.8,1.4,1.36,1.19,1.18,1.01,1.23,0.88,1.19,1.08,1.0,0.99
a_0,1.59,1.62,1.95,2.13,1.87,1.66,1.28,1.16,1.06,1.26,0.87,1.11,1.19,1.05,0.96,1.0
