,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.41,0.44,0.63,0.71,0.61,0.53,0.33,0.34,0.29,0.33,0.32,0.29,0.27,0.23,0.29,0.25
f_1,0.64,0.4,0.59,0.64,0.56,0.55,0.26,0.31,0.25,0.27,0.29,0.25,0.25,0.18,0.22,0.23
d_1,0.63,0.65,0.39,0.55,0.6,0.56,0.32,0.25,0.29,0.31,0.25,0.29,0.26,0.21,0.29,0.17
c_1,0.49,0.59,0.72,0.37,0.66,0.58,0.32,0.31,0.27,0.18,0.26,0.24,0.26,0.24,0.27,0.23
b_1,0.59,0.66,0.62,0.39,0.36,0.71,0.33,0.31,0.32,0.25,0.29,0.31,0.29,0.24,0.25,0.25
a_1,0.63,0.63,0.58,0.57,0.37,0.3,0.33,0.36,0.28,0.35,0.29,0.35,0.33,0.25,0.33,0.25
h_1,0.55,0.6,0.54,0.55,0.56,0.51,0.23,0.34,0.24,0.26,0.27,0.25,0.25,0.26,0.24,0.23
g_1,0.53,0.65,0.6,0.58,0.56,0.49,0.24,0.22,0.26,0.25,0.29,0.24,0.25,0.2,0.26,0.24
c_0,0.58,0.63,0.41,0.77,0.58,0.52,0.32,0.31,0.22,0.33,0.26,0.32,0.29,0.23,0.27,0.22
d_0,0.42,0.54,0.68,0.69,0.6,0.51,0.32,0.34,0.26,0.22,0.25,0.25,0.27,0.24,0.28,0.23
f_0,0.53,0.71,0.53,0.6,0.51,0.5,0.31,0.23,0.26,0.28,0.2,0.26,0.26,0.21,0.27,0.17
b_0,0.56,0.61,0.47,0.73,0.67,0.49,0.28,0.32,0.17,0.28,0.25,0.2,0.27,0.24,0.23,0.21
a_0,0.54,0.57,0.56,0.57,0.73,0.58,0.34,0.32,0.22,0.25,0.25,0.16,0.18,0.23,0.19,0.2
h_0,0.56,0.63,0.6,0.56,0.51,0.46,0.33,0.3,0.24,0.23,0.26,0.24,0.25,0.23,0.23,0.24
e_0,0.62,0.7,0.52,0.57,0.58,0.49,0.31,0.3,0.24,0.25,0.17,0.25,0.27,0.23,0.18,0.2
g_0,0.57,0.59,0.57,0.62,0.55,0.49,0.26,0.31,0.23,0.25,0.28,0.23,0.25,0.18,0.24,0.23
