,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.11,4.01,3.8,4.29,3.76,3.8,0.82,0.82,1.17,0.86,1.8,0.88,0.47,1.01,0.7,0.89
e_1,2.33,1.12,5.46,4.3,4.79,4.81,1.36,0.98,1.38,0.82,1.1,0.86,0.73,1.5,1.21,0.65
c_1,5.58,3.87,1.12,6.3,5.19,3.73,1.22,0.6,1.53,1.71,0.93,0.91,0.71,0.9,0.83,0.68
d_1,5.18,6.03,4.89,1.11,5.29,4.37,1.56,2.45,0.85,0.92,0.91,1.18,0.78,0.99,0.92,0.45
b_1,6.75,6.73,3.0,6.39,1.13,6.43,1.86,1.34,2.01,1.52,1.21,2.5,0.9,1.13,1.37,0.78
a_1,9.29,7.76,8.18,8.7,3.8,1.14,2.66,1.88,2.46,2.18,1.6,1.85,1.11,1.57,3.37,1.22
h_1,16.27,15.88,17.52,15.53,15.85,14.88,1.77,2.95,4.44,2.98,3.1,3.42,2.89,2.6,3.24,2.05
d_0,19.23,10.15,22.66,34.43,17.18,15.1,5.91,2.24,6.72,4.18,4.17,4.72,2.89,3.41,3.9,4.34
g_1,22.13,19.62,21.32,16.25,19.44,23.26,3.76,4.48,1.78,3.15,4.02,3.46,2.11,3.55,3.99,3.81
c_0,22.93,20.25,48.37,10.12,24.66,21.31,6.05,5.11,6.09,2.22,3.86,4.76,3.53,3.82,4.96,3.06
f_0,44.27,20.15,23.49,16.94,23.57,19.46,7.28,4.26,3.86,4.15,2.24,4.52,3.56,4.19,4.75,1.94
b_0,25.21,21.53,34.48,17.5,50.25,26.63,6.14,4.93,6.04,2.31,4.39,2.13,2.89,3.78,4.28,3.15
h_0,30.21,25.32,28.94,27.31,25.61,24.1,13.79,6.33,9.06,5.74,5.22,5.6,5.74,4.58,5.26,3.99
e_0,51.45,45.7,42.64,30.46,35.51,32.65,12.09,8.21,8.81,5.53,3.33,6.1,5.21,2.54,6.67,4.13
a_0,44.79,36.03,39.05,33.7,36.99,44.98,11.73,7.75,8.93,5.79,7.72,3.77,5.03,5.7,2.48,5.72
g_0,43.26,41.63,34.48,36.84,33.29,34.31,7.49,7.26,16.72,7.77,6.43,6.87,4.15,5.61,6.67,7.0
