,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.95,0.51,0.53,0.6,0.45,0.37,0.36,0.53,0.29,0.31,0.33,0.34,0.33,0.21,0.29,0.2
f_1,0.85,0.95,0.52,0.54,0.43,0.3,0.32,0.35,0.3,0.31,0.34,0.22,0.3,0.22,0.26,0.18
d_1,0.58,0.62,0.96,0.45,0.43,0.35,0.37,0.27,0.33,0.54,0.35,0.32,0.32,0.27,0.26,0.23
c_1,0.51,0.58,0.53,0.95,0.8,0.4,0.38,0.32,0.31,0.25,0.27,0.31,0.31,0.24,0.27,0.23
b_1,0.6,0.6,0.6,0.48,0.95,0.67,0.4,0.36,0.3,0.38,0.28,0.35,0.3,0.2,0.27,0.28
a_1,0.71,0.77,0.63,0.62,0.46,0.94,0.4,0.44,0.37,0.34,0.35,0.37,0.41,0.22,0.32,0.25
h_1,0.86,1.06,0.92,0.7,0.63,0.58,0.78,0.54,0.55,0.47,0.5,0.49,0.41,0.34,0.56,0.35
d_0,0.75,0.93,0.7,1.35,0.88,0.5,0.55,0.71,0.45,0.36,0.49,0.47,0.51,0.39,0.45,0.38
g_1,0.84,0.89,1.19,0.86,0.72,0.51,0.5,0.52,0.78,0.57,0.54,0.67,0.47,0.4,0.36,0.4
c_0,0.91,1.05,0.82,0.81,0.57,0.66,0.69,0.59,0.52,0.73,0.85,0.57,0.58,0.46,0.52,0.44
b_0,0.92,0.99,0.95,0.93,0.57,0.58,0.61,0.61,0.52,0.48,0.72,0.55,0.57,0.66,0.5,0.41
f_0,0.8,0.96,0.96,0.92,0.82,0.61,0.63,0.62,0.5,0.51,0.59,0.73,0.52,0.4,0.47,0.65
h_0,1.04,1.28,1.0,0.97,0.77,0.55,0.53,0.6,0.66,0.53,0.57,0.58,0.48,0.39,0.56,0.41
a_0,1.14,1.26,1.03,1.05,0.87,0.45,0.72,0.61,0.59,0.59,0.56,0.64,0.75,0.65,0.53,0.42
g_0,0.97,0.96,1.39,1.01,0.94,0.66,0.57,0.62,0.52,0.54,0.56,0.78,0.54,0.43,0.51,0.58
e_0,0.81,1.22,1.05,1.19,0.88,0.78,0.65,0.6,0.58,0.55,0.58,0.5,0.62,0.47,0.44,0.67
