,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,2.52,4.82,4.91,4.87,4.61,1.17,0.88,1.45,0.86,0.82,1.05,0.88,1.01,1.94,0.78
f_1,3.49,1.12,3.99,5.14,5.01,4.39,0.84,0.9,1.46,0.81,0.78,1.6,0.47,0.79,0.73,0.84
d_1,6.66,5.34,1.12,4.39,4.28,4.05,1.32,2.46,0.97,0.95,1.0,0.82,0.74,0.83,0.97,0.45
c_1,4.08,4.84,6.58,1.12,4.55,4.58,1.65,0.54,1.39,1.88,0.91,0.92,0.72,1.0,0.91,0.61
b_1,6.35,6.48,4.81,3.4,1.13,5.49,2.12,1.39,1.3,1.39,2.65,1.15,0.72,1.5,1.19,0.95
a_1,8.36,8.14,8.01,9.32,4.53,1.14,2.76,1.98,2.5,2.04,2.16,1.99,1.38,3.11,1.64,1.3
h_1,14.45,18.33,13.7,15.39,15.69,13.06,1.72,3.1,4.1,2.86,3.0,2.37,3.25,2.49,2.17,1.9
d_0,10.13,17.79,32.11,20.02,19.34,17.03,6.0,2.26,5.51,4.21,3.56,4.14,2.8,3.87,3.45,3.48
g_1,18.8,19.22,17.7,19.42,22.24,16.89,4.31,4.12,1.78,4.16,4.01,4.14,2.18,3.45,3.51,6.24
c_0,23.87,20.91,10.74,40.79,20.92,23.05,7.0,6.14,6.86,2.14,4.91,4.72,2.55,4.36,4.07,2.76
b_0,20.16,24.32,18.19,26.31,36.68,18.66,5.87,4.61,6.46,2.58,2.39,3.68,2.78,4.57,4.07,2.62
f_0,24.19,42.56,20.99,20.92,24.56,21.29,7.06,4.86,4.31,4.49,4.29,2.25,2.95,5.05,5.25,1.93
h_0,31.28,28.15,23.73,24.72,29.42,24.49,11.83,6.31,7.81,6.05,4.91,6.56,6.05,4.92,4.47,4.16
a_0,31.82,38.44,32.11,35.86,39.77,52.95,8.4,8.86,9.46,6.05,3.18,5.98,4.65,2.48,5.66,5.57
e_0,49.7,47.67,29.5,32.31,33.62,36.96,11.05,7.95,9.46,6.71,7.12,3.56,4.7,5.92,2.6,4.36
g_0,32.98,41.09,35.22,38.85,31.38,33.2,7.24,6.36,14.61,7.02,7.12,6.4,3.84,7.15,5.84,5.93
