,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.12,2.36,5.16,5.24,4.55,4.43,1.39,1.43,1.04,0.88,0.85,1.21,0.97,0.63,1.33,0.6
f_1,3.95,1.13,4.91,4.83,4.53,4.38,0.96,1.47,0.97,1.08,0.96,2.12,0.94,0.46,0.8,0.88
c_1,4.15,4.48,1.12,5.49,5.35,4.9,1.73,1.47,0.56,1.0,1.81,0.97,0.94,0.68,0.93,0.75
d_1,5.45,5.56,5.44,1.12,5.25,4.33,1.3,0.87,2.63,0.91,0.89,0.95,0.89,0.65,0.93,0.43
b_1,6.59,6.34,3.06,5.47,1.13,5.86,1.44,1.79,1.06,2.92,1.55,1.01,1.09,0.92,1.26,1.05
a_1,6.53,8.93,8.07,7.07,3.55,1.14,2.86,2.85,1.86,2.06,1.52,2.0,3.72,1.26,1.88,1.24
h_1,17.0,19.88,14.62,12.92,14.74,10.57,1.71,4.16,3.37,3.07,3.2,3.07,3.39,3.33,3.08,2.66
g_1,22.66,20.24,17.18,15.67,20.0,15.71,3.93,1.75,4.37,3.88,3.72,3.81,4.05,1.93,3.51,4.72
d_0,10.86,17.95,19.94,28.27,21.83,18.96,5.83,6.93,2.28,4.63,3.66,4.75,3.93,3.39,4.37,3.12
b_0,19.42,19.41,25.04,14.07,42.06,17.88,5.67,5.2,4.05,2.04,2.15,3.81,3.66,2.93,3.45,2.28
c_0,21.72,20.36,49.69,10.7,22.34,22.67,5.83,5.97,6.95,3.48,2.22,4.4,3.69,3.31,4.13,2.98
f_0,25.49,47.03,17.94,20.83,24.66,28.19,7.25,4.04,4.93,4.29,4.61,2.1,4.48,3.45,3.92,2.03
a_0,31.65,32.74,28.58,29.87,43.33,46.79,8.26,10.39,6.88,3.1,4.79,5.48,2.44,4.06,4.32,4.01
h_0,30.85,29.03,29.91,31.98,28.6,26.49,12.64,9.4,6.0,5.79,6.06,5.97,4.96,6.72,5.01,4.78
e_0,53.2,42.27,31.67,26.61,35.75,32.82,7.72,6.86,6.88,7.36,6.44,3.2,6.95,5.77,2.46,4.31
g_0,37.08,41.22,33.3,36.81,31.09,34.9,7.79,15.24,9.17,7.36,7.36,7.46,5.64,4.41,5.97,6.46
