,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.51,0.62,1.12,0.68,0.64,0.36,0.76,0.79,0.68,0.69,0.82,0.39,0.65,0.58,0.4,0.74
d_1,0.84,1.54,0.62,0.57,0.61,0.56,0.85,0.5,0.71,1.37,0.81,0.78,0.94,0.82,0.76,0.71
e_1,0.62,0.69,1.53,0.82,0.61,0.63,0.76,1.37,0.74,0.73,0.85,0.88,0.92,0.64,0.55,0.77
c_1,0.71,0.75,0.61,1.56,1.02,0.61,0.63,0.72,0.73,0.44,0.68,0.73,0.87,0.69,0.54,0.79
b_1,0.65,0.84,0.7,0.54,1.6,0.96,0.87,0.79,0.67,0.79,0.44,0.7,0.98,0.53,0.7,0.88
a_1,0.98,0.79,0.71,0.68,0.63,1.73,0.83,0.87,0.85,0.86,0.76,0.83,1.0,0.49,0.89,0.78
h_1,1.14,0.84,0.91,1.08,0.7,0.71,1.75,0.95,1.2,1.0,1.07,0.97,0.89,0.79,0.87,1.34
d_0,0.94,0.75,0.72,1.57,0.89,0.77,1.17,1.58,0.87,0.83,1.29,1.12,1.05,0.92,0.96,1.01
g_1,0.93,1.23,0.78,0.93,0.83,0.63,1.04,1.12,1.82,1.0,1.12,1.5,1.16,1.06,0.93,0.93
c_0,1.13,0.77,1.06,0.8,0.72,0.8,1.15,1.33,1.03,1.62,2.03,1.18,1.3,0.97,1.04,1.16
b_0,1.03,0.97,0.92,1.11,0.64,0.73,1.17,1.12,1.06,0.87,1.64,1.02,1.39,1.72,1.17,1.13
f_0,0.94,1.0,0.81,1.11,0.99,0.89,1.06,1.22,0.94,1.23,1.14,1.68,1.2,0.96,1.82,1.03
h_0,1.47,1.01,0.87,1.0,0.84,0.69,0.99,1.22,1.39,1.02,1.04,1.12,0.92,0.86,0.91,1.45
a_0,1.03,1.01,0.93,1.05,1.01,0.59,1.45,1.33,0.99,1.39,0.99,1.29,1.65,1.77,0.93,1.36
e_0,1.49,1.01,0.7,1.16,0.8,0.81,1.3,1.13,1.22,1.2,1.23,0.95,1.46,1.39,1.8,1.11
g_0,1.03,1.42,0.86,1.06,0.92,0.95,1.01,1.14,0.65,1.2,1.22,1.57,1.01,1.08,1.15,0.9
