,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.6,0.66,0.99,0.51,0.55,0.55,2.31,2.35,3.12,2.2,3.52,0.69,3.09,4.49,2.74,3.54
c_1,0.58,6.14,0.56,1.21,0.57,0.57,1.79,3.62,0.4,2.3,1.68,2.38,2.08,4.78,2.69,4.61
e_1,0.68,0.69,6.28,0.59,0.45,0.5,2.73,5.54,2.95,2.01,3.4,2.45,2.68,4.29,0.47,4.4
b_1,0.66,0.62,0.57,6.68,0.63,1.02,2.13,2.37,2.44,2.47,0.68,3.18,2.55,3.51,3.76,3.83
d_1,0.57,0.3,0.64,0.62,6.91,0.67,2.13,0.92,5.7,2.18,3.76,4.24,3.88,4.54,3.35,4.19
a_1,0.65,0.57,0.51,0.55,0.86,10.11,2.52,2.21,2.74,1.94,3.09,3.45,1.21,3.67,3.47,4.87
h_1,1.33,1.18,1.07,0.75,1.15,0.89,16.28,4.73,4.77,4.62,5.45,4.96,4.61,3.62,3.98,9.36
d_0,1.12,2.33,0.99,0.83,0.34,0.84,3.56,12.74,3.84,3.29,3.91,5.43,4.41,8.37,6.15,7.57
c_0,1.38,0.53,1.04,0.84,1.03,1.18,4.67,4.91,14.47,4.03,10.84,5.95,7.25,8.75,5.8,7.86
g_1,0.93,1.16,0.89,0.88,1.77,0.92,2.63,4.42,4.9,19.45,5.08,7.4,5.04,7.59,4.87,2.91
b_0,1.19,1.22,1.02,0.46,1.26,0.87,3.53,6.5,5.53,4.15,17.09,6.07,11.35,8.75,5.99,10.6
f_0,0.44,1.43,0.93,1.06,1.13,1.08,4.45,6.07,5.64,4.24,6.83,18.37,4.53,7.51,10.25,7.7
a_0,1.51,0.85,1.22,0.94,1.06,0.32,3.74,5.2,4.8,3.42,5.03,5.92,22.22,9.73,6.5,6.4
h_0,1.63,1.22,0.83,1.0,0.89,0.98,1.04,6.05,3.99,4.04,5.44,5.34,5.18,3.01,5.66,7.94
e_0,1.27,1.1,0.28,1.2,1.37,1.24,5.09,4.51,5.25,4.31,4.9,6.3,4.34,8.4,24.16,11.27
g_0,0.94,0.98,0.94,1.01,1.72,1.04,4.3,5.29,4.76,1.34,4.96,9.48,4.75,8.31,7.02,3.44
