,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.17,0.22,0.37,0.41,0.37,0.34,0.11,0.11,0.09,0.08,0.09,0.08,0.05,0.07,0.09,0.06
f_1,0.35,0.17,0.33,0.36,0.35,0.33,0.08,0.11,0.08,0.07,0.09,0.07,0.04,0.06,0.06,0.06
d_1,0.38,0.36,0.14,0.33,0.39,0.33,0.09,0.07,0.1,0.07,0.07,0.07,0.05,0.06,0.07,0.03
c_1,0.28,0.38,0.46,0.14,0.32,0.34,0.12,0.1,0.05,0.09,0.07,0.07,0.05,0.08,0.07,0.05
b_1,0.34,0.41,0.38,0.23,0.13,0.33,0.11,0.11,0.07,0.1,0.08,0.1,0.06,0.07,0.07,0.06
a_1,0.37,0.41,0.34,0.36,0.2,0.09,0.11,0.1,0.09,0.07,0.08,0.09,0.06,0.15,0.07,0.06
h_1,0.33,0.34,0.31,0.32,0.33,0.3,0.06,0.1,0.08,0.06,0.06,0.06,0.05,0.06,0.06,0.04
g_1,0.33,0.33,0.32,0.35,0.31,0.28,0.08,0.05,0.08,0.06,0.06,0.06,0.04,0.07,0.06,0.05
d_0,0.21,0.33,0.47,0.36,0.33,0.29,0.11,0.13,0.05,0.07,0.07,0.08,0.05,0.07,0.08,0.06
c_0,0.36,0.38,0.2,0.45,0.33,0.29,0.1,0.08,0.11,0.05,0.07,0.07,0.05,0.06,0.07,0.04
f_0,0.3,0.42,0.33,0.33,0.29,0.26,0.08,0.06,0.08,0.06,0.04,0.06,0.04,0.06,0.06,0.03
b_0,0.33,0.33,0.27,0.43,0.36,0.25,0.09,0.09,0.08,0.04,0.07,0.04,0.05,0.07,0.06,0.05
h_0,0.33,0.33,0.31,0.33,0.3,0.26,0.12,0.09,0.08,0.06,0.06,0.06,0.06,0.05,0.06,0.04
a_0,0.36,0.31,0.29,0.34,0.34,0.34,0.09,0.08,0.08,0.05,0.07,0.04,0.05,0.03,0.06,0.05
e_0,0.36,0.45,0.31,0.33,0.29,0.29,0.08,0.07,0.07,0.06,0.04,0.06,0.04,0.05,0.03,0.04
g_0,0.31,0.35,0.31,0.35,0.32,0.29,0.07,0.09,0.07,0.06,0.07,0.06,0.04,0.05,0.06,0.05
