,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,15.5,0.48,0.48,0.81,0.55,0.46,0.87,0.92,2.03,0.74,0.88,1.22,0.98,0.57,1.08,1.0
d_1,0.54,16.96,0.66,0.38,0.53,0.59,0.93,0.99,0.36,2.14,1.29,1.06,1.04,1.05,1.2,0.93
f_1,1.31,0.53,17.28,0.55,0.41,0.45,0.84,0.62,0.84,0.84,0.94,0.25,0.68,0.56,0.89,0.85
c_1,0.48,0.54,0.52,18.81,1.39,0.55,0.77,0.83,0.85,0.26,0.65,0.89,0.97,0.72,0.75,0.74
b_1,0.42,0.55,0.63,0.49,20.0,1.44,0.93,0.88,0.86,0.88,0.4,0.9,1.04,0.98,0.47,0.91
a_1,0.49,0.63,0.67,0.66,0.47,27.13,0.97,0.87,0.74,0.97,1.05,0.83,0.96,1.09,0.4,0.96
h_1,0.65,0.8,1.07,0.69,0.78,0.66,5.21,1.61,0.92,1.14,1.04,1.03,0.69,1.4,1.2,1.95
g_1,0.59,1.45,0.57,0.69,0.76,0.69,0.97,5.05,1.03,1.14,1.21,2.24,1.09,1.44,1.05,0.75
d_0,0.72,0.39,0.61,2.06,0.81,0.81,1.16,1.06,2.84,0.76,0.75,1.24,1.22,1.44,0.94,1.52
c_0,0.76,1.0,0.89,0.43,0.51,0.7,1.18,1.23,0.92,3.19,3.1,1.27,1.49,1.51,1.86,1.11
b_0,0.66,0.84,0.93,0.74,0.29,0.64,1.27,0.98,1.2,1.35,3.8,1.24,1.6,1.29,3.57,1.31
f_0,0.58,1.07,0.4,0.88,0.76,0.72,1.15,1.21,1.39,1.08,1.06,3.87,1.52,3.42,1.14,1.74
h_0,0.52,0.84,1.35,0.71,0.68,0.75,0.59,1.85,1.16,1.17,1.37,1.23,0.58,1.42,1.04,1.71
e_0,0.31,0.96,0.75,0.78,0.82,0.84,1.17,1.5,1.51,1.15,1.35,1.25,1.69,4.74,1.39,1.67
a_0,0.63,0.82,0.88,0.93,0.67,0.21,1.33,1.04,1.41,1.01,1.59,1.42,1.66,1.37,5.07,1.45
g_0,0.53,1.59,0.6,0.77,0.66,0.64,1.32,0.77,1.09,1.01,1.1,2.22,1.48,1.61,1.16,0.7
