,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.39,2.08,1.65,1.37,1.35,1.32,2.55,3.17,2.63,2.92,3.04,2.31,3.6,2.59,3.32,3.6
e_1,1.48,2.41,1.67,1.25,1.47,1.4,2.92,5.05,3.39,3.16,3.51,3.85,4.35,2.89,3.72,4.2
c_1,1.39,1.38,2.55,1.61,2.35,1.58,2.76,2.43,2.83,1.87,2.52,2.91,3.42,3.09,2.76,3.95
d_1,1.61,1.59,1.24,2.71,1.37,1.25,3.14,2.55,2.55,5.3,3.87,3.2,4.16,3.67,3.85,3.81
b_1,1.48,1.4,1.29,1.58,2.77,2.71,2.52,3.07,2.48,3.45,2.41,3.35,4.23,3.55,2.64,3.96
a_1,1.68,1.47,1.45,1.66,1.17,3.24,3.1,3.29,2.92,2.97,3.85,3.46,4.81,3.7,3.17,4.76
h_1,1.94,1.48,1.59,1.52,1.61,1.3,4.16,3.02,3.5,3.25,3.16,3.46,3.33,3.76,3.19,4.83
d_0,1.71,1.23,2.51,1.35,1.65,1.28,3.25,4.17,3.42,2.57,3.22,2.96,4.43,3.96,3.68,4.34
g_1,1.6,1.22,1.54,2.25,1.65,1.48,2.9,2.72,4.7,3.44,3.33,4.61,3.75,3.9,3.21,3.8
c_0,1.84,1.59,1.59,1.41,1.18,1.49,3.1,3.53,3.17,4.46,6.02,3.73,4.18,3.59,4.44,4.09
b_0,1.87,1.56,1.78,1.57,1.41,1.19,3.31,3.58,3.23,2.81,4.69,3.36,4.12,3.79,6.03,4.34
f_0,1.46,1.24,1.84,1.69,1.63,1.6,3.02,3.59,2.94,3.15,3.62,4.8,4.5,6.09,2.9,4.07
h_0,1.91,1.45,1.78,1.53,1.64,1.34,2.71,2.98,3.58,3.29,3.39,3.11,3.55,3.61,3.04,5.19
e_0,1.84,1.22,1.91,1.53,1.64,1.67,3.46,2.84,3.0,3.33,3.03,3.13,4.31,5.32,3.29,4.33
a_0,1.66,1.55,1.77,1.38,1.74,1.26,3.21,3.36,3.5,3.07,3.03,3.73,4.94,4.04,5.36,4.54
g_0,1.39,1.38,1.67,2.08,1.63,1.37,2.92,3.18,2.73,3.44,3.55,4.83,3.86,3.98,3.38,3.87
