,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.11,4.62,5.09,4.76,4.71,3.56,1.04,0.79,0.86,2.11,1.04,0.74,0.95,0.59,0.84,0.46
f_1,3.97,1.12,4.09,4.92,4.07,3.96,1.01,1.63,0.86,0.97,0.84,1.74,0.77,0.47,0.7,0.76
e_1,5.02,2.65,1.13,5.71,5.11,5.51,1.57,1.27,1.06,1.12,1.22,1.08,1.06,0.66,1.83,0.79
c_1,6.29,5.16,3.72,1.12,4.83,4.59,1.65,1.54,1.84,0.52,0.96,1.05,0.97,0.84,1.06,0.65
b_1,6.84,6.16,5.58,2.74,1.13,5.75,1.73,1.72,1.33,1.35,2.27,1.13,1.07,0.82,1.28,0.98
a_1,8.88,8.29,9.13,9.89,4.37,1.14,2.77,2.89,1.93,1.89,2.26,1.87,4.31,1.51,1.78,1.28
h_1,12.7,17.13,14.2,14.37,17.13,16.02,1.67,4.47,2.63,3.0,2.92,2.73,2.9,3.47,2.51,2.01
g_1,17.16,19.16,21.29,19.42,18.09,14.2,3.91,1.75,3.65,4.72,3.84,3.81,3.73,1.97,3.37,4.52
c_0,9.7,24.08,17.39,36.42,25.39,17.85,6.24,5.16,2.21,5.56,3.92,3.54,3.98,2.4,3.72,2.61
d_0,36.06,22.0,10.75,19.91,19.56,23.14,7.48,7.24,3.99,2.18,3.98,4.71,3.87,2.79,4.25,3.18
b_0,19.4,23.92,19.31,25.64,42.57,22.58,5.79,5.8,2.55,4.98,2.16,4.48,4.99,3.69,4.55,3.13
f_0,21.51,47.52,21.57,23.57,22.1,20.37,6.16,3.99,4.3,4.45,3.9,2.29,3.98,3.9,4.4,2.18
a_0,26.84,29.7,33.22,31.73,37.12,69.41,8.77,9.36,4.82,6.47,3.13,5.91,2.45,4.05,4.45,4.07
h_0,30.78,29.21,33.9,28.11,25.85,22.85,13.78,10.32,6.68,6.41,5.91,5.91,5.45,7.94,5.45,4.82
e_0,27.89,51.65,53.58,33.74,33.28,32.31,7.29,7.47,5.92,7.22,5.45,3.29,5.67,4.44,2.48,3.85
g_0,30.51,40.97,31.34,35.61,32.53,39.04,7.23,19.5,7.26,6.61,5.45,6.39,6.47,4.13,6.05,5.55
