,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.54,0.98,1.3,1.71,3.02,17.54,30.03,27.98,31.97,38.31,56.21,75.88,102.2,111.3,95.43
e_1,0.65,1.0,1.03,1.4,1.42,3.28,19.68,23.3,28.59,45.4,37.62,47.4,79.07,83.96,116.46,137.6
d_1,1.02,0.97,1.0,1.07,1.41,2.8,17.09,24.2,36.81,35.66,40.98,41.46,71.72,83.52,81.01,94.37
c_1,0.77,0.71,0.94,1.0,1.48,2.19,13.94,15.53,15.82,18.23,24.92,34.18,47.08,57.0,83.88,70.18
b_1,0.59,0.7,0.71,0.68,1.0,2.82,15.28,16.23,19.75,19.68,25.6,27.76,52.72,50.11,65.94,70.26
a_1,0.33,0.31,0.36,0.46,0.35,1.0,6.14,8.09,7.03,9.22,13.9,13.91,28.18,30.34,29.19,36.75
h_1,0.06,0.05,0.06,0.07,0.06,0.16,1.0,1.61,1.5,1.85,2.08,1.86,4.1,4.22,6.02,5.13
g_1,0.03,0.04,0.04,0.06,0.06,0.12,0.62,1.0,1.1,1.09,1.38,2.28,2.22,2.85,4.06,3.73
c_0,0.04,0.03,0.03,0.07,0.05,0.14,0.66,0.9,1.0,1.37,1.96,1.9,2.5,3.6,3.86,3.51
d_0,0.03,0.02,0.03,0.06,0.05,0.1,0.54,0.91,0.7,1.0,1.08,1.29,2.23,2.74,3.11,3.06
b_0,0.03,0.03,0.02,0.04,0.04,0.07,0.49,0.72,0.52,0.89,1.0,1.14,1.82,3.02,2.8,3.05
f_0,0.02,0.02,0.02,0.03,0.04,0.08,0.56,0.43,0.58,0.78,0.89,1.0,1.57,1.82,1.86,3.17
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.45,0.38,0.44,0.54,0.65,1.0,1.33,1.6,1.17
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.24,0.36,0.27,0.37,0.34,0.53,0.75,1.0,1.11,1.01
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.26,0.25,0.32,0.36,0.53,0.62,0.88,1.0,1.55
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.26,0.27,0.32,0.33,0.3,0.9,1.12,0.62,1.0
