,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.04,1.12,1.47,1.67,1.47,1.29,0.58,0.66,0.44,0.52,0.48,0.49,0.34,0.39,0.45,0.35
f_1,1.69,1.04,1.41,1.46,1.39,1.11,0.48,0.56,0.41,0.47,0.45,0.41,0.28,0.39,0.35,0.33
d_1,1.8,1.72,1.04,1.46,1.42,1.23,0.63,0.42,0.53,0.58,0.46,0.42,0.32,0.38,0.4,0.25
c_1,1.4,1.67,2.16,1.05,1.98,1.52,0.64,0.6,0.55,0.35,0.47,0.44,0.38,0.45,0.39,0.34
b_1,1.83,2.03,1.82,1.18,1.05,2.14,0.75,0.66,0.73,0.53,0.62,0.51,0.49,0.41,0.44,0.39
a_1,2.57,3.01,2.24,2.36,1.32,1.06,0.99,0.89,0.79,0.9,0.87,0.62,0.59,0.84,0.62,0.56
h_1,4.41,4.45,4.17,4.41,3.69,3.1,1.22,1.58,1.17,1.24,1.24,1.11,1.02,1.11,0.9,1.0
g_1,4.49,5.05,5.45,5.14,4.91,4.0,1.5,1.24,1.6,1.48,1.32,1.41,1.0,1.15,1.2,1.14
c_0,5.7,6.08,3.7,6.64,4.51,3.98,2.15,1.68,1.32,2.17,1.71,1.39,1.17,1.46,1.3,1.08
d_0,4.02,4.86,6.33,6.34,5.4,3.88,2.02,2.17,1.43,1.37,1.66,1.48,1.34,1.34,1.3,1.23
b_0,5.34,5.73,4.93,7.02,5.81,4.15,2.09,2.05,1.11,1.62,1.32,1.43,1.15,1.55,1.32,1.11
f_0,5.69,7.95,6.88,6.22,5.9,5.16,2.4,1.73,1.91,1.9,1.83,1.42,1.45,1.63,1.75,1.04
h_0,7.58,8.19,7.24,7.39,6.27,6.02,3.24,2.67,2.29,2.27,2.22,1.83,1.84,1.75,1.85,1.87
a_0,7.08,7.78,7.29,7.79,8.74,6.2,2.73,2.89,1.85,2.26,1.46,2.25,1.86,1.45,2.06,1.45
e_0,7.86,9.9,8.0,7.71,7.34,6.68,3.5,2.69,2.42,2.42,2.67,1.58,1.73,1.95,1.49,1.77
g_0,8.47,8.88,9.21,8.25,7.97,6.06,2.78,3.1,2.52,2.43,2.7,2.59,1.53,2.09,2.24,2.07
