,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.95,0.05,0.06,0.08,0.09,0.07,0.3,0.32,0.36,0.6,0.3,0.38,0.51,0.36,,0.36
f_1,0.11,36.92,0.06,0.06,0.1,0.06,0.3,0.27,0.38,0.5,0.29,,0.59,0.24,0.37,0.38
d_1,0.04,0.07,41.43,0.05,0.06,0.1,0.27,0.31,0.63,,0.37,0.31,0.73,0.41,0.31,0.7
c_1,0.04,0.06,0.06,44.35,0.13,0.07,0.35,0.33,,0.43,0.39,0.33,0.65,0.31,0.52,0.5
b_1,0.08,0.06,0.06,0.06,48.67,0.11,0.27,0.2,0.56,0.52,,0.32,0.44,0.29,0.43,0.44
a_1,0.06,0.05,0.07,0.07,0.06,71.7,0.37,0.21,0.41,0.35,0.44,0.29,0.76,,0.48,0.41
h_1,0.3,0.38,0.19,0.29,0.25,0.28,28.93,1.67,1.56,0.97,1.01,1.44,,1.47,,3.3
g_1,0.25,0.14,0.56,0.19,0.21,0.25,1.2,31.88,1.35,1.23,0.99,2.97,1.82,0.99,1.41,
c_0,0.32,0.45,0.47,,0.2,0.32,1.32,1.46,17.3,1.59,3.48,2.16,3.11,1.87,1.95,2.67
d_0,0.35,0.43,,0.7,0.3,0.23,1.41,1.23,1.3,17.29,1.85,2.08,4.4,1.66,2.01,3.2
b_0,0.32,0.27,0.47,0.3,,0.3,1.75,1.28,1.54,2.12,21.77,1.89,2.25,3.94,1.51,2.62
f_0,0.4,,0.24,0.38,0.35,0.38,1.28,0.93,2.17,1.67,2.12,22.52,2.97,1.9,3.51,3.41
h_0,0.42,1.01,0.43,0.6,0.36,0.45,,3.21,2.11,2.17,3.25,2.18,,3.69,4.24,7.05
a_0,0.51,0.38,0.34,0.3,0.25,,1.48,1.39,1.89,2.04,1.62,1.8,2.76,28.89,,3.67
e_0,,0.24,0.38,0.36,0.44,0.39,1.62,1.23,2.39,3.13,1.29,1.36,3.49,,31.92,3.42
g_0,0.52,0.4,0.65,0.51,0.61,0.43,1.96,,3.57,2.57,4.13,4.05,4.68,2.64,2.45,
