,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.47,1.98,1.01,1.15,1.19,1.01,2.22,2.6,2.61,2.57,2.84,1.75,2.46,2.7,1.81,2.93
e_1,1.1,2.48,1.14,1.42,1.2,1.28,2.44,2.57,4.32,2.61,2.83,3.0,2.85,3.54,2.03,3.29
d_1,1.47,1.14,2.62,1.01,1.19,1.07,2.45,4.15,1.56,2.0,3.04,2.92,3.32,3.56,3.1,3.4
c_1,1.18,1.1,1.24,2.63,2.07,1.05,2.17,1.62,2.14,2.13,1.99,2.97,2.56,2.73,2.73,2.49
b_1,1.26,1.17,1.32,1.03,2.71,2.14,2.12,2.48,2.61,2.42,1.8,2.33,2.08,3.67,2.73,3.88
a_1,1.5,1.0,1.42,1.41,0.94,3.16,2.72,2.62,2.72,2.49,2.72,2.55,1.83,3.74,3.21,3.59
h_1,1.74,1.33,1.33,1.38,1.24,1.11,4.03,2.82,2.99,2.89,3.09,2.81,3.09,3.02,2.87,4.52
c_0,1.39,1.38,1.41,1.21,1.13,1.33,2.78,3.95,2.82,2.84,4.85,2.86,3.84,3.74,3.02,3.93
d_0,1.34,1.13,1.15,2.36,1.37,1.26,2.54,2.25,3.95,2.59,2.72,3.04,2.9,3.6,2.95,3.73
g_1,1.15,1.08,1.97,1.47,1.26,1.23,2.6,2.7,2.66,4.45,2.87,4.26,3.1,3.58,3.07,3.26
b_0,1.39,1.39,1.42,1.58,0.94,1.23,2.73,2.65,3.05,2.84,4.13,3.28,5.17,3.72,2.97,3.85
f_0,1.23,1.1,1.39,1.48,1.5,1.39,3.0,2.76,2.73,2.25,2.46,4.44,3.08,3.82,5.8,3.7
a_0,1.62,1.42,1.57,1.38,1.33,1.2,2.87,2.75,3.26,2.47,2.5,2.59,4.68,4.27,3.11,3.8
h_0,1.66,1.32,1.45,1.44,1.14,1.43,1.75,2.83,3.06,3.02,3.19,2.74,2.76,2.93,3.23,4.43
e_0,1.71,0.93,1.2,1.52,1.46,1.39,2.94,3.13,2.92,2.85,3.48,2.34,3.19,4.28,5.1,4.18
g_0,1.28,1.25,1.97,1.52,1.07,1.32,2.4,2.88,2.62,1.93,2.86,3.84,2.82,3.09,3.26,3.03
