,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.29,0.03,0.02,0.03,0.02,0.02,0.06,0.05,0.06,0.11,0.06,0.05,0.05,0.09,,0.05
f_1,0.06,2.29,0.03,0.02,0.03,0.02,0.06,0.04,0.07,0.06,0.06,,0.06,0.08,0.04,0.04
d_1,0.03,0.03,2.32,0.03,0.03,0.02,0.08,0.04,0.13,,0.06,0.05,0.04,0.06,0.04,0.07
c_1,0.03,0.03,0.04,2.35,0.05,0.02,0.06,0.04,,0.07,0.04,0.07,0.04,0.05,0.06,0.06
b_1,0.03,0.03,0.03,0.03,2.44,0.03,0.05,0.06,0.05,0.06,,0.07,0.04,0.09,0.06,0.07
a_1,0.03,0.03,0.03,0.03,0.03,3.02,0.07,0.05,0.05,0.06,0.05,0.06,,0.07,,0.08
h_1,0.09,0.13,0.1,0.11,0.12,0.09,2.56,0.22,0.21,0.27,0.24,0.25,0.15,,0.17,0.36
g_1,0.08,0.09,0.17,0.15,0.09,0.06,0.27,3.0,0.17,0.18,0.22,0.31,0.14,0.3,0.17,
c_0,0.16,0.15,0.15,,0.1,0.1,0.25,0.26,2.03,0.21,0.61,0.37,0.23,0.43,0.21,0.36
d_0,0.15,0.2,,0.28,0.15,0.14,0.29,0.23,0.23,2.07,0.24,0.27,0.19,0.32,0.19,0.34
b_0,0.13,0.18,0.12,0.12,,0.08,0.32,0.19,0.42,0.18,2.13,0.23,0.63,0.51,0.21,0.34
f_0,0.16,,0.12,0.15,0.16,0.12,0.29,0.19,0.35,0.35,0.33,2.29,0.16,0.26,,0.37
a_0,0.12,0.15,0.13,0.16,0.09,,0.29,0.22,0.29,0.35,0.25,0.23,2.74,0.43,0.22,
h_0,0.21,0.32,0.2,0.16,0.18,0.15,,0.59,0.48,0.57,0.45,0.29,0.34,,,0.85
e_0,,0.13,0.15,0.09,0.19,,0.18,0.29,0.38,0.46,0.38,,0.24,,2.65,0.36
g_0,0.18,0.19,0.33,0.21,0.2,0.14,0.37,,0.48,0.38,0.37,0.77,,0.57,0.55,
