,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,5.81,1.05,0.66,0.68,0.62,0.47,1.85,1.96,2.56,2.32,3.03,0.92,2.47,4.14,4.6,1.92
e_1,0.68,5.85,0.48,0.55,0.57,0.51,2.35,2.11,5.71,3.2,3.55,3.62,3.12,4.02,4.14,0.98
d_1,0.58,0.51,6.18,0.51,0.55,0.71,2.23,2.23,0.71,5.56,3.54,3.08,2.66,5.48,3.96,3.9
c_1,0.61,0.68,0.56,6.52,1.13,0.51,1.83,2.04,2.56,0.53,2.4,2.9,3.17,4.32,4.02,2.56
b_1,0.49,0.56,0.61,0.6,7.64,1.24,2.33,1.97,2.94,2.19,0.69,3.9,2.21,4.29,4.01,2.9
a_1,0.63,0.63,0.69,0.53,0.57,10.02,2.92,2.49,2.67,3.0,2.51,2.27,0.71,4.02,3.91,2.65
h_1,1.51,0.89,1.01,1.03,0.83,0.87,15.49,4.68,5.87,5.42,4.22,5.46,3.8,2.86,10.18,5.64
g_1,0.83,0.91,1.99,1.11,0.78,0.8,3.48,18.43,2.92,4.26,4.22,6.45,3.5,5.99,3.56,4.55
d_0,1.06,0.92,0.39,2.21,1.07,1.04,4.3,3.74,13.38,4.62,4.93,5.59,5.66,7.22,7.32,5.53
c_0,1.33,1.03,1.2,0.51,0.87,1.0,3.75,5.03,4.9,14.38,11.61,6.33,6.59,8.09,7.38,5.81
b_0,1.31,0.99,1.03,1.27,0.47,0.95,4.38,3.66,5.65,3.98,15.46,4.66,11.55,9.54,8.65,6.84
f_0,0.56,0.79,1.24,1.27,1.02,1.21,4.86,3.77,6.2,5.49,5.28,17.41,5.36,7.19,9.34,13.45
a_0,1.49,1.14,1.18,1.31,0.93,,3.8,4.76,5.4,4.65,5.98,5.59,21.19,8.14,8.33,4.18
h_0,1.8,0.91,0.98,1.2,0.9,0.8,1.12,5.15,3.96,4.8,4.72,5.78,5.7,3.98,10.36,5.28
g_0,0.81,1.0,1.68,1.03,0.94,1.09,3.66,1.51,5.74,4.77,4.33,8.14,5.73,6.15,3.14,6.3
e_0,1.37,0.45,1.04,1.4,1.02,0.95,3.58,2.92,6.21,6.27,6.18,3.78,5.74,7.57,8.78,26.65
