,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,3.7,0.77,0.37,0.37,0.37,0.34,0.74,0.69,0.7,0.66,0.18,0.81,0.94,0.49,0.78,0.77
e_1,0.41,3.88,0.36,0.47,0.28,0.34,0.77,0.8,0.68,1.6,0.93,1.02,0.91,0.3,0.75,0.89
d_1,0.41,0.33,3.92,0.35,0.5,0.41,0.72,0.66,1.72,0.17,0.84,0.81,0.75,0.97,0.67,0.69
c_1,0.41,0.38,0.34,4.66,0.72,0.39,0.71,0.76,0.17,0.81,0.77,0.72,0.85,0.8,0.66,0.82
b_1,0.43,0.34,0.46,0.34,4.77,0.69,0.72,0.78,0.66,0.86,0.96,0.25,0.78,0.77,0.63,0.76
a_1,0.45,0.27,0.4,0.46,0.34,7.66,0.85,0.59,0.95,0.85,0.63,0.81,0.93,1.02,0.23,0.95
h_1,0.86,0.59,0.72,0.75,0.66,0.68,4.95,1.36,1.03,1.22,1.66,1.18,0.63,1.18,1.62,2.22
g_1,0.67,0.56,1.2,0.59,0.61,0.52,1.22,6.04,0.97,0.83,2.29,1.43,1.31,1.25,1.49,0.64
c_0,0.83,0.74,0.74,0.23,0.67,0.6,1.38,1.35,3.73,1.36,1.7,2.63,1.62,1.68,1.88,1.98
d_0,0.8,0.64,0.29,1.43,0.64,0.64,1.33,1.29,1.03,3.91,1.32,1.45,1.62,1.81,1.37,1.6
f_0,0.25,0.6,0.94,0.84,0.75,0.59,1.07,1.32,1.5,1.66,4.49,1.58,2.06,3.22,1.63,1.96
b_0,0.68,0.85,0.73,0.76,0.26,0.51,1.68,1.4,1.3,1.84,1.69,3.97,2.0,1.73,3.61,1.39
h_0,0.98,0.81,0.78,0.76,0.44,0.52,0.46,1.72,1.32,1.31,1.38,1.39,0.56,1.13,1.61,1.88
e_0,0.98,0.22,0.83,0.64,0.69,0.88,1.95,1.18,1.78,1.15,1.13,1.43,2.16,6.49,1.96,1.67
a_0,0.75,0.55,0.86,0.66,0.69,,1.35,1.46,1.79,1.29,1.4,1.67,1.67,1.99,5.98,2.43
g_0,0.42,0.66,1.06,0.77,0.64,0.71,1.14,0.71,1.51,1.14,2.28,1.44,1.7,1.48,1.76,0.74
