,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.24,0.95,1.0,0.92,0.75,0.58,0.69,0.64,0.54,0.58,0.53,0.52,0.47,0.55,0.45
e_1,0.81,1.0,0.96,1.08,0.93,0.89,0.84,0.69,0.9,0.67,0.69,0.72,0.66,0.59,0.58,0.58
d_1,1.07,1.04,1.0,0.92,0.87,0.84,0.69,0.53,0.62,0.9,0.74,0.66,0.59,0.59,0.49,0.58
c_1,1.01,0.93,1.09,1.0,1.3,0.87,0.65,0.61,0.49,0.61,0.5,0.55,0.58,0.6,0.54,0.49
b_1,1.07,1.11,1.15,0.78,1.0,1.25,0.79,0.82,0.68,0.71,0.58,0.65,0.57,0.67,0.62,0.62
a_1,1.31,1.12,1.16,1.14,0.8,1.0,0.92,0.86,0.78,0.77,0.77,0.71,0.79,0.94,0.67,0.68
h_1,1.74,1.22,1.36,1.52,1.24,1.07,1.0,1.15,0.97,0.92,0.89,0.81,0.76,0.86,0.89,0.83
g_1,1.46,1.4,1.84,1.59,1.29,1.23,0.86,1.0,0.87,0.91,0.85,1.07,0.74,0.71,0.91,0.78
d_0,1.52,1.1,1.58,2.05,1.51,1.29,1.01,1.17,1.0,0.77,0.93,0.88,0.91,0.96,0.84,0.82
c_0,1.85,1.48,1.12,1.72,1.34,1.24,1.07,1.13,1.31,1.0,1.45,1.02,1.01,0.97,0.88,0.93
b_0,1.79,1.45,1.36,1.97,1.76,1.2,1.14,1.17,1.09,0.71,1.0,0.85,1.27,1.07,0.97,0.86
f_0,1.89,1.45,1.52,1.73,1.57,1.49,1.25,0.85,1.15,0.94,1.15,1.0,0.93,1.01,0.79,1.47
a_0,1.98,1.5,1.63,1.7,1.78,1.41,1.3,1.31,1.1,0.97,0.85,1.07,1.0,0.99,0.97,0.86
h_0,2.17,1.7,1.71,1.68,1.57,1.08,1.13,1.36,1.04,1.02,0.95,0.99,0.98,1.0,1.03,0.87
g_0,1.87,1.71,1.99,1.8,1.62,1.61,1.13,1.03,1.14,1.09,1.04,1.32,1.06,0.97,1.0,1.01
e_0,2.15,1.68,1.74,2.13,1.61,1.49,1.16,1.32,1.07,1.02,1.17,0.65,1.13,1.13,0.96,1.0
