,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.14,11.06,9.44,9.64,11.27,9.8,2.33,2.16,1.88,3.69,2.19,8.98,1.69,0.97,1.87,1.95
c_1,10.57,1.14,10.12,11.27,23.32,12.38,2.81,1.12,7.82,3.04,2.39,1.91,2.91,1.5,2.27,1.87
e_1,7.22,12.7,1.14,12.58,11.27,14.16,3.31,2.53,2.56,3.78,2.47,2.94,1.97,2.03,15.36,1.98
b_1,14.95,6.33,12.89,1.15,12.32,13.97,5.09,3.12,3.51,4.09,8.42,2.34,2.95,1.9,2.24,1.81
d_1,14.21,13.83,17.45,12.48,1.14,9.19,3.21,13.59,2.86,2.11,2.55,2.65,3.0,2.25,2.6,1.21
a_1,20.96,20.54,23.43,11.43,17.46,1.15,6.14,4.65,3.4,6.0,4.88,3.85,15.12,3.16,3.93,2.93
h_1,28.86,35.73,22.19,31.01,31.49,25.52,1.92,6.24,5.64,11.89,6.29,5.39,6.34,14.96,4.9,3.84
d_0,35.07,28.35,17.27,38.67,76.38,45.93,9.72,2.72,7.29,9.44,5.02,5.22,7.02,3.6,6.9,3.93
c_0,30.5,163.33,34.19,38.67,16.79,41.34,9.6,9.62,2.56,9.17,6.37,6.55,7.28,5.81,6.38,4.99
g_1,36.43,35.36,38.52,31.64,34.33,35.64,8.26,8.66,7.55,1.92,6.96,6.3,8.02,4.99,6.38,14.52
b_0,33.5,72.98,39.42,120.46,30.55,42.18,11.82,11.75,4.39,12.84,2.69,6.93,8.93,5.64,8.05,6.96
f_0,121.03,62.36,53.19,41.76,29.66,36.91,13.24,8.56,7.82,8.45,8.16,2.69,8.93,6.71,8.45,3.88
a_0,52.11,74.57,53.19,71.18,45.6,93.95,19.2,13.59,8.65,16.89,5.33,12.76,2.75,8.64,11.66,7.95
h_0,50.7,52.77,55.85,69.6,53.6,66.68,30.72,11.0,11.39,15.29,10.65,11.55,8.93,20.47,10.56,7.59
e_0,68.22,74.57,304.64,51.34,55.55,57.42,24.77,11.95,11.59,17.83,10.65,7.03,9.82,8.64,2.94,6.82
g_0,70.79,65.96,62.06,72.84,62.35,62.64,14.49,14.14,13.24,42.8,9.16,13.86,15.72,8.84,9.39,20.88
