,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.52,1.38,0.79,0.95,0.74,0.62,0.95,0.92,1.1,0.87,0.93,0.72,0.93,0.79,0.55,0.99
e_1,0.9,1.53,0.78,1.14,0.82,0.68,1.04,0.94,1.55,0.86,1.09,1.08,1.14,1.02,0.79,1.01
d_1,1.06,0.88,1.56,0.71,0.77,0.81,1.03,0.92,0.9,1.64,1.17,1.03,1.18,0.9,0.98,0.95
c_1,0.8,0.81,0.89,1.57,1.49,0.7,1.09,0.91,0.94,0.71,0.69,0.97,1.08,0.79,0.85,1.05
b_1,1.05,0.81,1.04,0.71,1.61,1.26,1.11,1.05,0.92,1.13,0.79,0.93,1.29,0.98,0.97,1.12
a_1,1.13,1.03,1.03,1.05,0.78,1.77,1.17,1.18,1.2,1.12,1.18,0.86,1.32,0.88,0.82,1.1
h_1,1.52,1.25,1.16,1.01,0.98,0.73,1.8,1.41,1.37,1.02,1.19,1.04,1.28,1.07,1.13,1.62
g_1,1.14,1.02,1.63,1.17,1.06,0.88,1.11,1.86,1.16,1.32,1.27,1.73,1.43,1.08,1.45,1.08
d_0,1.2,1.05,0.83,1.81,1.21,0.8,1.32,1.4,1.74,0.97,1.1,1.26,1.39,1.1,1.23,1.28
c_0,1.42,1.27,1.11,1.09,0.88,0.85,1.48,1.41,1.49,1.82,2.21,1.26,1.68,1.44,1.43,1.38
b_0,1.31,1.17,1.16,1.33,1.04,0.74,1.53,1.32,1.54,1.16,1.87,1.4,1.75,2.06,1.27,1.51
f_0,1.09,1.0,1.36,1.15,1.13,1.18,1.62,1.2,1.51,1.6,1.41,1.89,1.74,1.4,2.39,1.38
h_0,1.49,1.15,1.39,1.33,1.03,0.95,1.31,1.63,1.46,1.24,1.28,1.33,1.23,1.3,1.38,1.76
a_0,1.35,1.1,1.5,1.26,1.14,0.71,1.62,1.6,1.45,1.37,1.22,1.48,1.7,1.86,1.34,1.37
e_0,1.59,1.1,1.39,1.38,1.12,1.1,1.64,1.19,1.47,1.17,1.44,1.12,1.61,1.31,1.88,1.41
g_0,1.31,1.29,1.78,1.21,1.01,0.95,1.41,1.51,1.36,1.58,1.35,1.9,1.47,1.32,1.48,1.19
