,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.06,2.0,2.16,1.75,1.89,1.48,0.61,0.55,0.69,0.51,0.51,0.66,0.37,0.44,0.5,0.46
e_1,1.41,1.06,2.07,1.77,2.03,1.78,0.81,0.86,0.96,0.61,0.58,0.75,0.49,0.99,0.59,0.5
c_1,1.98,2.05,1.06,2.62,2.48,1.89,0.85,0.41,0.81,0.67,0.58,0.54,0.44,0.42,0.45,0.44
d_1,2.69,2.87,2.17,1.06,2.11,1.74,0.96,1.13,0.58,0.75,0.72,0.63,0.57,0.69,0.68,0.37
b_1,2.88,2.63,1.53,2.75,1.06,3.02,0.92,0.84,0.82,1.02,0.9,0.76,0.58,0.59,0.6,0.48
a_1,3.93,3.47,3.23,3.81,1.62,1.07,1.39,1.27,1.2,1.0,1.17,0.88,0.75,0.81,1.17,0.79
h_1,6.23,5.31,5.48,4.6,6.05,4.15,1.31,1.49,2.01,1.54,1.42,1.49,1.57,1.33,1.32,1.11
d_0,6.46,3.71,8.45,8.62,6.05,4.89,2.65,1.48,2.49,1.84,1.65,1.55,1.46,1.9,1.65,1.49
g_1,7.17,5.57,6.71,7.36,7.37,6.09,2.05,1.86,1.32,1.92,1.83,1.86,1.15,1.79,1.48,1.6
c_0,8.25,7.47,11.57,3.96,6.15,6.63,2.55,2.87,2.37,1.48,2.78,2.19,1.5,1.73,2.03,1.52
b_0,9.18,6.77,10.43,6.16,12.35,5.9,3.16,2.58,2.69,1.28,1.51,2.1,1.57,2.1,2.22,1.63
f_0,11.28,6.98,9.0,7.92,7.4,6.95,2.9,2.83,2.13,2.11,2.15,1.49,1.79,2.27,1.9,1.13
h_0,11.17,8.96,10.83,8.65,8.57,7.49,5.07,2.88,4.02,2.78,2.81,2.62,2.59,2.33,2.29,2.42
e_0,12.68,12.14,11.54,8.69,9.99,8.45,3.36,2.7,3.38,3.15,2.76,1.77,2.03,1.58,2.34,1.86
a_0,10.2,8.96,12.15,9.29,12.69,9.99,4.25,2.99,3.99,2.68,1.83,3.57,2.66,3.15,1.59,2.44
g_0,13.41,11.43,11.67,10.93,10.53,8.5,3.67,3.39,4.76,3.32,3.05,3.23,1.75,2.55,2.41,2.77
