,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.06,1.31,2.07,2.78,2.22,1.86,0.78,0.9,0.76,0.62,0.75,0.61,0.47,0.82,0.56,0.6
f_1,2.47,1.06,1.86,2.04,2.02,1.66,0.66,0.96,0.65,0.61,0.87,0.62,0.4,0.53,0.47,0.48
d_1,2.49,2.37,1.06,2.19,1.93,1.81,0.79,0.56,1.16,0.64,0.6,0.66,0.5,0.59,0.38,0.54
c_1,1.76,2.55,2.67,1.06,2.43,1.98,0.82,0.71,0.39,0.66,0.57,0.57,0.48,0.52,0.47,0.5
b_1,2.23,2.46,2.61,1.59,1.06,2.43,0.96,0.93,0.74,0.87,0.65,0.91,0.66,0.69,0.59,0.75
a_1,3.53,4.14,3.38,2.98,1.94,1.07,1.27,1.42,1.01,1.11,0.99,0.97,0.8,0.75,0.69,1.07
h_1,5.66,6.0,5.32,5.53,5.81,4.29,1.33,2.19,1.73,1.62,1.6,1.67,1.68,1.19,1.27,1.3
g_1,6.12,6.36,6.74,6.65,5.88,4.85,1.97,1.33,1.7,1.7,2.19,1.86,1.14,1.71,1.52,1.38
d_0,4.37,7.64,7.67,7.61,6.14,5.64,2.78,2.74,1.5,1.84,2.25,1.89,1.52,1.95,1.67,1.81
c_0,6.96,7.28,4.69,12.33,6.65,5.31,2.54,2.71,2.62,1.5,2.21,2.44,1.73,1.92,1.49,1.87
f_0,6.26,10.82,6.87,7.22,8.64,5.66,2.69,1.77,2.04,1.93,1.47,1.91,1.61,2.31,1.08,1.9
b_0,7.3,7.54,6.11,9.85,11.56,6.39,2.72,2.5,2.78,1.27,2.3,1.5,1.85,2.11,1.71,2.08
h_0,8.77,9.42,9.72,9.01,7.72,7.73,4.1,3.26,2.53,2.42,2.91,2.35,2.43,2.19,2.22,2.05
e_0,11.19,13.89,9.46,9.68,8.49,8.93,4.18,3.03,3.33,2.69,1.56,2.55,2.41,1.49,1.98,1.87
g_0,10.23,11.63,9.79,11.04,9.85,7.7,3.13,4.48,3.09,2.87,3.15,2.65,1.86,2.85,2.54,2.54
a_0,9.86,10.75,9.46,10.77,12.41,9.93,4.07,4.02,2.89,2.61,2.84,1.76,2.42,2.92,2.43,1.62
