,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.96,0.88,0.58,0.62,0.51,0.37,0.37,0.34,0.4,0.33,0.34,0.25,0.28,0.3,0.27,0.19
e_1,0.62,0.96,0.58,0.71,0.51,0.42,0.49,0.37,0.57,0.4,0.4,0.35,0.33,0.35,0.3,0.24
d_1,0.71,0.65,0.96,0.54,0.5,0.43,0.44,0.35,0.32,0.59,0.44,0.37,0.3,0.34,0.29,0.28
c_1,0.65,0.61,0.65,0.95,0.85,0.48,0.37,0.33,0.34,0.29,0.26,0.3,0.28,0.36,0.28,0.23
b_1,0.68,0.66,0.74,0.55,0.95,0.76,0.44,0.39,0.39,0.39,0.31,0.34,0.25,0.37,0.31,0.25
a_1,0.8,0.71,0.77,0.66,0.56,0.95,0.52,0.45,0.45,0.44,0.4,0.4,0.28,0.51,0.36,0.29
h_1,1.19,0.91,0.92,0.95,0.72,0.56,0.8,0.64,0.61,0.56,0.55,0.47,0.4,0.48,0.52,0.41
g_1,0.93,0.98,1.27,0.97,0.76,0.68,0.55,0.79,0.52,0.6,0.54,0.63,0.4,0.5,0.47,0.38
d_0,1.02,0.86,0.87,1.46,0.93,0.64,0.64,0.61,0.74,0.44,0.52,0.49,0.49,0.57,0.48,0.4
c_0,1.16,1.1,0.88,1.01,0.73,0.62,0.69,0.64,0.73,0.75,0.95,0.57,0.56,0.59,0.48,0.43
b_0,1.23,1.02,1.01,1.13,0.81,0.56,0.67,0.68,0.67,0.54,0.73,0.48,0.78,0.67,0.53,0.39
f_0,1.09,1.06,1.07,1.15,0.94,0.73,0.76,0.6,0.73,0.62,0.64,0.72,0.5,0.61,0.49,0.75
a_0,1.31,1.11,1.14,1.13,0.92,0.65,0.82,0.73,0.69,0.62,0.61,0.59,0.71,0.62,0.57,0.4
h_0,1.45,1.2,1.18,1.07,0.9,0.58,0.59,0.79,0.62,0.62,0.57,0.57,0.47,0.55,0.65,0.42
g_0,1.27,1.14,1.44,1.16,0.96,0.81,0.77,0.6,0.69,0.69,0.61,0.77,0.53,0.62,0.51,0.5
e_0,1.44,1.19,1.2,1.28,0.94,0.79,0.73,0.76,0.63,0.72,0.74,0.46,0.58,0.71,0.58,0.68
