,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.53,0.63,0.72,0.94,0.68,0.62,0.96,0.78,0.84,1.43,0.96,0.89,0.93,0.7,0.52,0.8
d_1,0.83,1.54,0.74,0.63,0.69,0.6,0.9,0.7,1.4,0.52,0.92,0.85,0.92,0.8,0.79,0.83
f_1,1.15,0.8,1.54,0.64,0.63,0.5,0.83,0.86,0.78,0.84,0.47,0.77,0.72,0.79,0.5,0.88
c_1,0.59,0.78,0.82,1.58,1.18,0.56,0.83,0.8,0.58,0.73,0.84,0.58,0.96,0.64,0.76,0.94
b_1,0.74,0.72,0.76,0.62,1.59,1.15,0.88,0.81,0.72,0.83,0.82,0.47,1.07,0.64,0.84,0.89
a_1,0.81,0.86,0.9,0.92,0.63,1.72,0.86,0.94,0.84,1.01,0.85,1.18,0.92,0.59,0.93,0.88
h_1,0.85,1.03,1.22,1.02,0.87,0.78,1.71,1.23,1.07,1.02,1.08,1.12,1.11,0.92,0.94,1.39
g_1,0.98,1.49,0.89,0.73,0.86,0.87,1.14,1.82,1.29,0.99,1.47,1.24,1.02,0.94,1.08,0.93
c_0,1.04,1.0,1.15,0.76,0.9,0.85,1.34,1.15,1.68,1.26,1.18,1.9,1.24,1.23,0.95,1.28
d_0,0.86,0.75,1.05,1.81,1.02,0.66,1.27,0.98,0.81,1.68,1.06,1.09,1.38,1.08,0.98,1.19
f_0,0.87,1.08,1.09,0.98,1.08,0.86,1.36,1.12,1.28,1.22,1.74,1.25,1.44,1.04,2.1,1.19
b_0,0.96,1.31,1.22,1.21,0.74,0.57,1.25,1.12,1.04,1.22,1.12,1.73,1.49,1.99,1.08,1.14
h_0,0.92,1.12,1.5,1.19,0.9,0.95,0.91,1.56,1.16,1.24,1.09,1.14,1.12,1.21,1.0,1.57
a_0,1.12,1.17,1.24,1.16,1.04,0.54,1.42,1.25,1.21,1.15,1.35,1.03,1.51,1.79,1.21,1.51
e_0,0.83,1.15,1.38,1.0,0.98,0.89,1.51,1.19,1.32,1.14,0.95,1.26,1.68,1.09,1.79,1.34
g_0,0.93,1.56,0.98,1.22,1.0,0.94,1.11,0.86,1.2,1.1,1.51,1.34,1.17,1.01,1.16,0.94
