,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,1.04,0.91,0.89,0.86,0.77,0.93,0.72,0.63,0.7,0.63,0.65,0.6,0.63,0.63
f_1,1.29,1.0,1.0,0.88,0.99,0.97,0.62,0.64,0.6,0.67,0.42,0.56,0.43,0.48,0.56,0.47
c_1,0.96,1.0,1.0,1.12,1.37,0.8,0.68,0.49,0.6,0.49,0.64,0.59,0.73,0.58,0.7,0.55
d_1,1.1,1.14,0.89,1.0,0.96,0.76,0.69,0.75,0.58,0.86,0.62,0.72,0.64,0.52,0.52,0.56
b_1,1.12,1.01,0.73,1.04,1.0,1.33,0.79,0.64,0.79,0.62,0.82,0.66,0.68,0.66,0.49,0.54
a_1,1.17,1.03,1.24,1.32,0.75,1.0,0.85,0.76,0.69,0.89,0.85,0.97,0.73,0.59,0.74,0.99
h_1,1.21,1.63,1.51,1.47,1.24,1.15,1.0,0.91,1.15,0.81,0.78,0.77,0.71,0.71,0.93,0.71
d_0,1.08,1.61,2.14,1.27,1.54,1.25,1.05,1.0,0.92,0.9,0.86,0.79,0.86,0.82,0.79,0.81
g_1,1.35,1.71,1.7,1.74,1.26,1.41,0.9,1.06,1.0,0.83,1.0,0.86,0.75,0.94,0.68,0.71
c_0,1.61,1.51,1.96,1.23,1.57,1.14,1.2,1.2,1.22,1.0,1.02,1.23,0.89,0.92,0.89,0.73
f_0,1.49,2.32,1.61,1.58,1.24,1.14,1.22,1.11,1.0,0.94,1.0,1.08,1.04,0.9,0.75,1.28
b_0,1.56,1.82,1.72,1.3,1.56,1.04,1.3,1.27,1.22,0.76,0.92,1.0,0.95,1.29,0.84,0.9
h_0,1.51,2.33,1.42,1.5,1.53,1.37,1.43,1.23,1.28,1.13,0.94,1.02,1.0,0.98,1.17,0.8
a_0,1.64,2.04,1.68,1.86,1.6,1.67,1.41,1.14,1.05,1.11,1.05,0.8,1.02,1.0,0.88,0.92
g_0,1.63,1.84,1.54,1.89,1.96,1.28,1.11,1.27,1.59,1.12,1.31,1.15,0.85,1.17,1.0,1.07
e_0,1.92,2.07,1.82,1.81,1.88,1.04,1.35,1.22,1.49,1.43,0.8,1.08,1.26,1.13,0.86,1.01
