,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,2.37,3.73,3.83,3.89,4.58,1.62,1.8,1.76,2.07,1.61,1.53,1.38,1.3,,1.42
f_1,3.92,0.42,3.22,3.77,3.28,3.13,1.4,1.72,1.72,2.05,1.55,,1.14,1.53,1.52,1.45
c_1,3.95,3.93,0.4,4.27,4.47,2.92,1.88,0.89,,2.13,1.37,1.53,1.48,1.73,1.76,1.32
d_1,4.74,3.48,3.51,0.4,3.67,3.09,1.81,,1.69,1.38,1.49,2.36,1.23,1.92,2.04,0.75
b_1,3.63,3.7,2.16,3.23,0.36,5.27,1.95,1.76,1.91,2.08,,1.58,1.08,,1.89,1.35
a_1,3.54,3.36,3.65,4.63,1.8,0.31,1.86,1.79,1.54,2.03,2.07,1.84,1.65,,,1.53
h_1,2.07,2.28,1.94,1.71,1.8,1.77,0.26,0.84,0.8,0.86,0.8,0.6,,0.71,0.84,0.67
d_0,1.05,1.55,1.95,,1.76,1.39,0.8,0.3,0.64,0.8,0.66,0.73,0.57,0.84,0.65,0.7
c_0,1.43,1.47,,1.06,1.82,1.29,0.89,0.73,0.29,0.97,0.97,0.7,0.59,0.59,0.62,0.75
g_1,1.99,1.96,1.68,1.78,1.7,2.03,0.93,0.95,0.87,0.23,0.79,1.02,0.52,0.95,0.6,
b_0,1.42,1.59,2.44,1.62,,2.07,1.07,0.67,0.42,1.08,0.27,0.62,0.62,0.74,0.72,0.62
f_0,1.53,,1.44,1.34,1.58,1.61,1.03,0.73,0.66,0.49,1.07,0.26,0.73,0.68,0.72,0.57
h_0,1.43,1.36,1.11,1.3,1.31,1.36,,0.49,0.59,0.85,0.55,0.6,,0.55,0.53,0.45
a_0,1.67,1.76,1.57,1.36,,,0.78,0.66,0.97,0.72,0.52,0.68,0.65,0.22,0.64,
e_0,,1.67,1.58,1.43,1.37,,0.72,0.79,0.76,0.9,0.72,0.5,0.59,0.75,0.22,0.57
g_0,1.24,1.4,1.32,1.69,1.14,1.33,0.64,0.67,0.53,,0.51,0.54,0.39,,0.57,
