,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.55,2.62,1.98,2.35,2.06,0.98,0.87,0.71,0.86,0.71,0.78,0.55,0.66,1.47,0.6
f_1,2.6,1.06,2.61,2.5,1.86,1.77,0.69,0.67,0.61,1.06,0.66,0.94,0.41,0.66,0.46,0.54
c_1,2.02,2.37,1.06,2.65,2.76,2.03,0.94,0.48,0.85,0.82,0.57,0.6,0.5,0.56,0.58,0.54
d_1,2.89,2.13,2.3,1.06,2.44,1.83,0.84,1.2,0.82,0.58,0.69,0.69,0.52,0.53,0.57,0.38
b_1,3.02,3.39,1.59,2.32,1.07,3.71,1.07,0.88,1.12,1.14,1.29,0.73,0.66,0.69,0.65,0.54
a_1,3.3,4.05,3.79,3.71,1.75,1.07,1.46,1.07,0.89,1.17,1.2,0.98,0.8,1.2,0.98,0.82
h_1,5.44,6.37,6.19,6.07,5.55,4.21,1.34,1.83,1.77,2.53,1.79,1.55,1.81,1.43,1.39,1.35
d_0,4.09,8.1,8.34,9.87,7.48,6.06,2.8,1.53,1.93,2.49,2.1,1.88,1.71,1.58,1.9,2.03
c_0,6.35,8.16,12.58,4.45,5.75,7.47,2.73,2.54,1.54,2.52,2.17,1.99,1.87,2.11,1.8,1.55
g_1,7.1,6.88,8.07,7.23,6.4,6.57,1.95,2.3,2.23,1.36,2.15,2.16,1.38,1.48,1.73,1.69
b_0,7.24,8.43,11.3,6.71,12.75,6.19,2.89,2.45,1.44,2.72,1.5,2.08,1.64,2.42,1.89,1.69
f_0,7.07,11.78,8.04,8.12,8.62,6.43,3.35,2.34,2.51,2.07,2.54,1.56,2.19,2.44,2.48,1.27
h_0,9.74,10.93,10.4,9.85,9.51,8.59,4.95,2.85,2.53,3.89,2.81,2.84,2.84,2.07,2.54,2.67
a_0,9.54,9.56,9.69,13.06,12.74,14.17,4.92,3.76,2.89,4.61,1.88,3.15,2.71,1.67,2.79,2.29
e_0,10.19,17.19,10.72,11.98,11.72,7.97,3.56,3.04,2.86,3.78,3.3,1.88,2.47,2.96,1.62,2.11
g_0,10.24,10.83,10.48,13.56,11.53,10.07,3.5,2.92,3.09,6.44,3.28,3.43,1.94,2.87,3.04,2.87
