,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,8845.76,149.04,147.51,317.96,487.04,1845.39,247380.01,1004381.89,378657.78,,942439.54,1365126.22,4607597.4,4746049.34,6977393.04,7261791.13
f_1,103.01,11932.92,336.23,284.82,485.73,1959.18,205986.87,439069.35,374280.99,806530.87,1118261.32,,4891698.14,3779015.19,5212765.03,7039151.89
e_1,142.29,163.93,14229.35,327.86,503.22,1945.15,160052.52,441881.37,272865.93,1155575.16,914624.15,1708581.02,4687735.35,3697573.0,6821619.52,
c_1,139.95,160.44,185.85,32594.91,938.79,1796.7,125935.77,,423753.77,671448.45,719663.14,977731.2,5682282.39,3850675.74,9728639.36,9017025.14
b_1,136.33,137.9,170.68,307.14,48440.62,,197643.49,547878.14,330226.16,613185.47,,1918063.1,5340950.53,3889906.17,8714264.7,4879762.49
a_1,105.36,206.05,152.64,349.58,,252489.23,161175.69,531207.24,433864.39,537085.13,1408653.34,1564155.51,4502987.35,,9597082.37,
h_1,422.38,699.89,679.89,1735.1,1387.73,5164.26,9187014.41,2063403.51,2221631.83,2460687.91,3226915.09,4847772.75,,20365189.28,43969611.42,19791720.99
c_0,519.13,641.82,812.41,,2210.96,7816.42,1064032.74,14919994.58,1746488.01,3718631.81,8898207.84,7807521.99,22186752.9,29624822.13,51157328.9,32095654.07
g_1,676.71,396.83,592.0,1627.01,1530.56,6715.03,714839.74,1676887.0,24730270.15,1146916.67,3782379.41,10020512.1,18861936.91,18349339.19,,24126507.14
d_0,,786.85,1161.49,3282.74,3026.48,7883.85,939424.03,2288480.37,2082549.07,21268571.26,5526255.4,6703523.61,24277534.63,13517319.49,26496606.36,25178640.54
b_0,461.74,876.48,935.93,1954.42,,8293.96,954095.3,2249245.41,2319757.33,1846061.46,34647862.56,8363122.92,24850154.29,46425690.39,47551372.94,36059862.08
f_0,665.43,,642.67,1822.34,1978.04,7051.09,821185.65,3084021.23,2671053.39,4104650.62,3715043.2,57777632.56,17876105.07,18134268.62,54687285.01,86859276.71
h_0,1023.23,1625.4,1500.65,2011.85,2863.77,11027.83,,2591892.15,3084398.95,5045490.18,7249363.98,11119787.05,,45045187.71,106828992.6,53273292.9
a_0,608.01,683.37,652.46,1214.14,2774.48,,1276607.46,2221339.14,1718232.17,2582806.42,2865973.64,7079453.22,34647303.13,243499025.44,63154993.65,44515586.56
g_0,1496.69,1225.6,946.45,2857.36,2927.0,10674.61,1154389.25,3749527.43,,4487894.62,6871652.65,15870855.38,35409747.87,27453369.2,,59486186.09
e_0,612.02,938.01,,1230.68,3046.64,,1351767.79,2195312.55,2964937.02,3336659.68,5435907.9,7288027.03,22589782.02,26534338.55,34675016.95,361728561.94
