,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,0.94,1.11,0.95,0.82,0.78,0.7,1.01,0.63,0.65,0.73,0.58,0.58,0.71,0.64
f_1,1.28,1.0,0.86,0.98,0.8,0.86,0.53,0.66,0.62,0.56,0.62,0.54,0.47,0.53,0.48,0.5
d_1,1.06,1.15,1.0,0.96,0.83,0.84,0.76,0.57,0.72,0.9,0.63,0.64,0.63,0.59,0.45,0.54
c_1,0.91,1.02,1.04,1.0,1.47,0.75,0.74,0.67,0.51,0.57,0.48,0.61,0.6,0.52,0.56,0.58
b_1,1.06,1.23,1.2,0.68,1.0,1.27,0.77,0.8,0.59,0.79,0.74,0.67,0.65,0.62,0.56,0.59
a_1,1.21,1.17,1.18,1.34,0.79,1.0,1.02,0.84,0.79,0.81,0.91,0.82,0.79,0.57,0.7,0.64
h_1,1.27,1.84,1.36,1.38,1.33,1.0,1.0,1.07,0.93,0.86,0.88,0.81,0.93,0.89,0.91,0.67
g_1,1.41,1.42,1.8,1.42,1.36,1.27,0.93,1.0,0.97,0.77,0.9,1.08,0.8,0.89,0.86,0.8
d_0,1.01,1.65,1.33,2.11,1.64,1.17,1.04,1.02,1.0,0.84,0.94,0.84,1.08,0.86,1.04,0.75
c_0,1.55,1.73,1.14,1.71,1.19,1.14,1.15,1.29,1.17,1.0,1.56,0.86,1.07,0.87,0.97,0.95
b_0,1.6,1.57,1.59,2.34,1.43,0.98,1.14,1.11,0.99,0.65,1.0,0.95,0.91,1.29,0.82,0.82
f_0,1.42,1.66,1.49,1.64,1.4,1.25,1.26,0.94,1.18,1.13,1.04,1.0,1.01,1.03,0.83,1.21
h_0,1.84,2.03,1.66,1.66,1.45,1.28,1.09,1.3,0.93,0.93,1.11,0.95,1.0,0.87,1.22,0.78
a_0,1.7,1.83,1.75,1.95,1.56,1.34,1.13,1.13,1.19,1.16,0.83,1.02,1.15,1.0,0.94,0.87
g_0,1.59,2.04,2.19,1.74,1.61,1.38,1.05,1.15,0.99,1.04,1.18,1.23,0.82,1.08,1.0,0.9
e_0,1.56,2.17,1.96,1.66,1.68,1.56,1.56,1.19,1.31,1.1,1.28,0.84,1.24,1.22,0.95,1.0
