,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.64,0.95,1.08,0.81,1.04,0.8,0.43,0.44,0.25,0.34,0.37,0.31,0.28,0.34,0.31,0.27
f_1,0.97,0.64,0.92,1.08,0.93,0.75,0.35,0.45,0.37,0.34,0.36,0.32,0.23,0.26,0.3,0.29
d_1,1.0,0.98,0.64,1.05,0.94,0.89,0.42,0.31,0.43,0.38,0.31,0.34,0.27,0.32,0.29,0.2
e_1,1.09,0.71,1.0,0.64,1.01,0.92,0.46,0.49,0.44,0.36,0.42,0.34,0.3,0.45,0.33,0.33
b_1,0.7,1.1,1.09,1.0,0.62,1.13,0.52,0.46,0.37,0.46,0.37,0.47,0.32,0.35,0.34,0.3
a_1,1.21,1.41,1.29,1.24,0.71,0.56,0.55,0.62,0.48,0.52,0.43,0.55,0.37,0.42,0.6,0.42
h_1,1.58,1.68,1.45,1.57,1.48,1.38,0.54,0.65,0.59,0.52,0.53,0.52,0.47,0.44,0.45,0.49
g_1,1.76,1.71,1.75,1.57,1.65,1.39,0.64,0.52,0.65,0.61,0.65,0.58,0.39,0.54,0.5,0.51
d_0,2.08,1.69,1.95,1.18,1.85,1.5,0.83,0.79,0.55,0.56,0.72,0.57,0.51,0.67,0.63,0.56
c_0,2.65,1.83,1.24,1.91,1.62,1.52,0.83,0.75,0.9,0.53,0.62,0.73,0.53,0.64,0.64,0.47
f_0,1.83,2.52,1.89,1.72,1.77,1.57,0.82,0.6,0.71,0.69,0.53,0.69,0.52,0.75,0.7,0.41
b_0,2.63,1.9,1.51,1.96,1.96,1.57,0.82,0.78,0.79,0.46,0.64,0.53,0.54,0.63,0.72,0.5
h_0,2.02,2.31,1.98,1.99,1.9,1.82,1.02,1.01,0.84,0.73,0.75,0.69,0.67,0.67,0.67,0.58
e_0,2.11,3.06,1.9,2.37,2.07,1.64,1.0,0.79,0.79,0.69,0.47,0.74,0.61,0.51,0.71,0.52
a_0,2.3,2.14,2.16,2.06,2.29,1.96,0.92,0.99,0.79,0.66,0.64,0.47,0.58,0.68,0.52,0.62
g_0,2.3,2.33,2.23,1.97,2.12,1.86,0.8,1.02,0.8,0.78,0.8,0.7,0.54,0.74,0.68,0.62
