,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,5.9,1.06,0.52,0.55,0.6,0.57,2.68,2.35,3.44,2.81,0.7,2.8,3.94,2.0,2.9,3.08
e_1,0.67,5.91,0.7,0.52,0.5,0.66,2.09,1.74,5.27,2.76,3.26,3.02,4.06,0.78,2.9,4.31
c_1,0.61,0.54,6.22,0.54,1.15,0.41,2.42,2.21,2.81,0.81,2.97,1.66,5.13,3.62,2.64,5.14
d_1,0.69,0.55,0.5,6.41,0.61,0.36,2.31,2.24,0.85,6.21,2.9,3.04,5.09,2.65,2.38,4.88
b_1,0.58,0.57,0.71,0.51,7.31,1.26,2.37,1.83,2.7,2.48,2.62,0.62,3.77,2.94,2.6,3.79
a_1,0.61,0.68,0.63,0.58,0.5,11.22,2.04,2.25,2.73,1.87,3.21,3.53,3.82,4.14,0.72,3.1
h_1,1.37,0.99,1.14,1.05,0.94,1.02,15.1,4.84,4.65,4.42,5.26,4.6,2.4,5.66,3.77,8.94
g_1,0.97,0.8,0.86,1.74,0.89,0.95,3.11,18.85,4.8,4.63,8.05,6.13,5.36,4.4,5.62,2.98
d_0,1.0,1.11,1.96,0.32,0.93,1.22,4.08,3.73,12.44,4.35,5.71,5.47,7.13,5.31,6.75,7.39
c_0,1.43,1.11,0.5,1.23,0.65,0.96,3.62,3.89,5.69,14.38,6.18,11.15,9.02,5.89,6.42,9.83
f_0,0.33,0.93,1.29,1.38,1.11,1.14,3.16,3.31,5.95,5.41,15.67,6.53,8.27,11.37,3.91,7.17
b_0,1.07,1.14,1.15,1.5,0.27,0.81,3.55,4.18,5.54,4.77,4.17,17.2,9.51,4.35,13.34,7.63
h_0,1.3,0.85,1.09,1.23,1.0,0.86,1.62,5.21,5.37,4.64,4.98,5.36,4.39,6.06,7.04,10.79
e_0,1.36,0.3,1.07,1.24,1.08,0.8,3.7,4.68,4.47,6.79,5.79,7.88,7.58,22.43,7.69,9.5
a_0,1.14,1.0,1.28,1.44,0.84,0.41,4.31,3.84,4.09,5.4,4.54,6.25,8.72,4.91,22.72,7.87
g_0,1.01,1.01,0.9,1.79,1.02,0.93,3.12,1.13,4.17,4.02,7.28,5.66,7.09,7.35,4.39,3.21
