,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,0.78,1.12,1.04,0.99,1.03,1.06,1.5,1.0,1.12,1.13,1.18,1.08,1.21,1.09
d_1,1.11,1.0,1.11,0.89,0.97,0.89,1.14,0.82,0.96,1.27,1.03,0.97,0.87,1.13,0.92,0.89
f_1,1.29,0.9,1.0,0.96,0.98,0.95,0.74,0.95,0.88,0.93,0.94,1.03,0.88,1.07,0.84,1.11
c_1,0.89,1.14,1.03,1.0,1.36,0.85,0.96,0.98,0.71,0.8,0.76,0.81,0.99,0.93,0.94,0.87
b_1,0.95,1.02,1.02,0.73,1.0,1.49,1.28,1.05,1.02,1.06,0.87,0.98,0.97,0.83,1.0,1.04
a_1,1.01,1.13,1.04,1.18,0.67,1.0,0.97,1.28,1.06,1.0,1.18,1.12,1.26,0.93,1.18,1.16
h_1,0.92,0.93,1.32,1.07,0.8,0.98,1.0,1.13,0.98,0.95,1.02,0.91,1.02,0.9,0.87,1.13
g_1,0.93,1.22,1.06,1.02,0.97,0.81,0.89,1.0,0.86,1.03,1.0,1.18,0.9,0.83,1.05,1.05
d_0,0.64,1.1,1.06,1.46,1.05,0.89,1.03,1.2,1.0,0.92,1.05,0.96,1.05,0.96,1.09,1.03
c_0,0.97,0.8,1.0,1.17,0.95,1.04,1.04,1.01,1.13,1.0,1.42,1.13,1.13,1.07,1.13,0.98
b_0,0.86,0.98,1.03,1.35,1.1,0.95,0.97,1.06,0.97,0.67,1.0,1.07,0.99,1.28,0.97,0.92
f_0,0.9,1.0,1.04,1.18,0.97,0.86,1.1,0.85,1.07,0.92,0.95,1.0,1.17,0.86,1.48,0.79
h_0,0.89,1.12,1.14,1.02,1.02,0.81,0.98,1.13,0.96,0.88,0.98,0.83,1.0,0.9,0.89,1.12
a_0,0.92,0.86,1.02,1.06,1.29,1.0,1.15,1.21,1.01,0.87,0.79,1.14,1.15,1.0,1.05,0.94
e_0,0.88,1.14,1.22,1.07,1.0,0.86,1.18,0.92,0.99,0.93,1.05,0.66,1.09,0.98,1.0,0.93
g_0,0.95,1.16,0.91,1.06,0.9,0.87,0.86,0.98,0.96,0.97,1.05,1.25,0.86,1.05,1.0,1.0
