,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.37,0.18,0.17,0.12,0.09,0.16,0.11,0.16,0.14,0.12,0.04,0.15,0.09,0.05,0.11
e_1,0.23,0.89,0.14,0.21,0.15,0.09,0.16,0.08,0.15,0.33,0.14,0.13,0.18,0.12,0.05,0.15
d_1,0.22,0.19,0.89,0.14,0.14,0.12,0.17,0.15,0.31,0.06,0.17,0.14,0.15,0.1,0.08,0.13
c_1,0.21,0.17,0.18,0.88,0.28,0.1,0.13,0.12,0.06,0.15,0.11,0.13,0.16,0.09,0.1,0.1
b_1,0.22,0.18,0.17,0.19,0.88,0.19,0.13,0.13,0.15,0.14,0.07,0.11,0.16,0.07,0.08,0.11
a_1,0.23,0.17,0.18,0.16,0.16,0.87,0.19,0.16,0.17,0.18,0.18,0.13,0.16,0.06,0.09,0.13
h_1,0.34,0.24,0.21,0.21,0.15,0.1,0.56,0.22,0.2,0.17,0.19,0.12,0.13,0.15,0.13,0.19
g_1,0.2,0.2,0.38,0.17,0.19,0.13,0.15,0.55,0.25,0.11,0.21,0.28,0.18,0.13,0.14,0.11
c_0,0.33,0.23,0.26,0.14,0.13,0.1,0.23,0.18,0.4,0.21,0.36,0.2,0.22,0.16,0.14,0.19
d_0,0.3,0.24,0.1,0.42,0.18,0.09,0.22,0.14,0.12,0.4,0.19,0.12,0.22,0.12,0.11,0.14
b_0,0.31,0.25,0.28,0.2,0.08,0.11,0.23,0.17,0.21,0.19,0.42,0.17,0.22,0.24,0.14,0.16
f_0,0.14,0.22,0.24,0.19,0.2,0.17,0.19,0.18,0.19,0.23,0.24,0.44,0.25,0.17,0.33,0.16
h_0,0.4,0.26,0.24,0.19,0.21,0.12,0.08,0.19,0.17,0.17,0.17,0.14,0.12,0.13,0.13,0.17
a_0,0.32,0.23,0.26,0.24,0.2,0.05,0.19,0.14,0.2,0.2,0.2,0.12,0.23,0.38,0.1,0.17
e_0,0.27,0.12,0.28,0.21,0.19,0.11,0.21,0.22,0.19,0.24,0.21,0.21,0.23,0.22,0.41,0.15
g_0,0.24,0.22,0.37,0.21,0.17,0.11,0.2,0.11,0.2,0.15,0.18,0.23,0.21,0.13,0.15,0.08
