,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,92.85,92.65,69.45,75.56,100.01,388.12,8968.12,15882.64,17537.61,27025.77,41116.24,24410.2,56656.02,90962.04,167534.46,128253.79
e_1,40.87,109.24,78.48,69.41,134.06,371.82,9673.4,14256.28,28748.09,30127.4,39998.97,43947.48,65645.09,93620.42,162918.23,160064.8
c_1,40.71,46.16,125.94,71.24,192.05,336.0,9159.28,14208.05,13742.66,15107.16,27106.92,36090.78,57281.88,68127.75,145512.02,165391.03
d_1,45.81,48.54,50.14,142.32,100.44,374.05,8452.29,12523.82,9916.45,39250.53,38117.12,40306.24,51058.6,86150.29,151407.04,158961.08
b_1,38.9,34.31,45.87,58.83,213.18,496.45,7694.16,12226.03,13845.55,22015.77,20347.57,29405.49,52697.59,48732.17,137442.15,113232.73
a_1,28.02,28.52,36.83,36.02,54.9,558.28,4864.02,8294.58,10048.8,14506.63,18434.13,19221.75,37921.56,29685.12,80951.02,68072.37
h_1,14.78,13.29,14.19,20.26,25.62,91.94,3604.31,4298.52,3885.72,6904.97,10410.38,7786.94,12392.6,20463.65,50551.82,36316.73
g_1,8.84,10.3,13.08,23.28,23.19,76.37,1754.46,5423.58,3428.09,5856.0,8605.62,10797.55,12144.93,20002.09,27017.22,43095.1
d_0,9.42,8.86,22.95,13.26,26.6,59.99,2119.87,3354.83,4939.95,4278.1,8279.89,9038.9,14206.42,21321.26,34333.04,39708.18
c_0,8.87,9.78,11.12,13.22,15.21,73.09,1511.25,3010.71,3823.95,7083.69,12569.39,7339.9,13435.09,21222.94,34616.89,35452.47
b_0,7.6,8.85,11.25,14.23,13.32,59.57,1481.49,2710.62,2554.94,3788.86,9423.13,6191.55,10479.85,23755.06,25452.99,29125.39
f_0,6.71,7.19,11.24,13.63,19.07,50.96,1559.92,2457.15,2984.6,5085.84,7270.39,9892.97,11945.36,15957.28,26578.73,52917.97
h_0,8.6,7.33,9.98,12.89,16.87,49.06,1086.16,2831.87,2324.71,3671.22,5896.7,4897.04,7397.09,13357.89,28040.8,25289.58
a_0,5.62,6.8,9.31,10.3,15.69,39.7,1164.59,2015.98,1843.27,2608.49,4712.96,5560.03,7158.33,17990.3,19771.77,25032.69
g_0,4.65,5.45,6.34,11.65,11.09,36.07,893.52,1487.8,1511.11,2748.47,4749.0,6065.51,6166.32,9719.08,13840.9,20664.76
e_0,5.25,2.94,7.07,7.5,15.43,43.02,926.15,1333.72,1751.09,2610.64,4607.32,3637.08,6833.99,7557.49,16418.53,30653.0
