,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.93,0.13,0.11,0.09,0.07,0.07,0.08,,0.1,0.04,0.08,0.07,0.06,0.04,0.05,0.04
f_1,0.09,0.93,0.15,0.1,0.1,0.07,0.08,0.07,0.07,0.05,0.05,,0.07,0.03,0.03,0.05
e_1,0.1,0.11,0.93,0.09,0.09,0.06,0.07,0.11,0.06,0.06,0.05,0.05,0.07,0.04,,0.05
c_1,0.11,0.09,0.11,0.93,0.14,,0.08,0.07,,0.07,0.05,0.06,0.07,0.06,0.05,0.06
b_1,0.12,0.1,0.11,0.1,0.93,0.12,0.1,0.09,0.06,0.06,,0.07,0.06,0.04,0.05,0.04
a_1,0.13,0.16,0.12,,0.07,0.93,0.06,0.07,0.08,0.07,0.07,,0.07,,,0.05
h_1,0.3,0.38,0.26,0.3,0.23,0.26,0.71,0.22,0.18,0.19,0.14,0.14,,0.12,0.12,0.14
d_0,,0.33,0.3,0.49,0.28,0.32,0.21,0.58,0.21,0.17,0.26,0.19,0.22,0.16,0.12,0.18
c_0,0.32,0.31,0.4,,0.32,0.24,0.26,0.23,0.58,0.19,0.33,0.19,0.18,0.16,0.12,0.16
g_1,0.49,0.31,0.21,0.29,0.26,0.21,0.18,0.2,0.2,0.71,0.18,0.22,0.18,,0.12,
b_0,0.32,0.33,0.29,0.43,,0.21,0.28,0.21,0.23,0.22,0.58,0.22,0.24,0.2,,0.18
f_0,0.38,,0.36,0.38,0.33,,0.23,0.26,0.27,0.18,0.22,0.57,0.26,0.2,0.26,0.15
h_0,0.46,0.51,0.46,0.4,0.37,0.33,,0.32,0.32,0.41,0.27,0.22,,0.22,0.18,0.32
a_0,0.44,0.44,0.4,0.32,0.31,,0.32,0.23,0.29,,0.24,0.17,0.24,0.59,,0.22
e_0,0.38,0.5,,0.35,0.38,,0.21,0.33,0.38,0.24,,0.23,0.27,,0.57,0.17
g_0,0.84,0.49,0.44,0.39,0.48,0.38,0.29,0.29,0.28,,0.28,0.41,0.24,0.22,0.28,
