,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,109.88,76.51,71.62,112.95,125.25,413.3,9139.23,29248.43,18427.27,18126.72,28284.79,61357.39,137464.61,102450.42,188688.44,141591.06
f_1,90.2,125.06,71.58,83.51,115.97,305.06,8486.22,18516.96,16980.32,18096.01,28243.92,41836.34,111291.63,94080.79,176929.73,148190.48
d_1,66.37,81.45,125.79,86.77,110.16,358.18,9139.76,12342.25,26703.77,14123.24,33321.77,56128.41,115421.81,106806.97,168337.72,175619.46
c_1,52.43,71.13,66.49,147.65,174.37,345.07,7818.32,14736.12,12469.32,14439.28,20413.6,47937.37,117059.43,81557.29,163226.84,185788.58
b_1,50.74,58.41,68.93,69.65,187.62,546.78,8126.61,14087.39,14108.92,13706.75,20502.94,45621.11,100519.69,81765.39,150888.66,166563.03
a_1,32.85,47.48,43.39,58.63,61.47,477.1,6663.25,10707.38,10833.2,10675.18,19266.64,35383.82,79733.2,66226.32,108316.16,118286.83
h_1,15.29,23.88,21.36,23.09,29.99,76.21,3368.83,4601.05,4652.99,5600.33,7420.09,13019.52,23104.04,26259.82,54887.67,47477.7
d_0,11.0,16.12,14.46,29.24,28.31,77.55,1988.14,4797.95,2859.51,4062.99,5873.01,11678.83,28044.06,18911.98,40660.17,45211.18
c_0,12.94,16.81,15.74,18.32,24.66,81.62,2206.03,4074.11,4917.79,3993.4,9990.09,13268.8,24578.94,30246.47,40009.1,45095.62
g_1,13.26,15.76,20.25,18.8,23.32,61.72,1820.58,3623.48,3743.07,5512.1,6003.24,16189.69,20672.32,19960.59,33338.34,44263.94
b_0,12.52,14.76,12.93,17.98,19.45,58.26,1728.21,3104.75,2972.44,3521.0,7089.13,10711.08,26677.42,35268.99,32396.03,37740.57
f_0,8.37,11.53,11.26,14.18,19.58,56.36,1677.98,2595.92,2646.2,2326.44,4721.21,11750.21,18106.65,18601.76,27249.46,50787.63
h_0,7.48,11.83,9.51,10.27,15.02,41.82,999.65,2092.04,2199.8,2719.09,3143.54,6582.05,13458.16,12833.63,27579.37,19949.31
a_0,8.12,9.44,9.66,12.34,16.4,33.1,1236.21,2121.36,1990.97,2484.14,3118.25,6131.62,15211.59,19859.08,24755.53,21516.24
g_0,6.39,6.8,11.88,9.79,12.99,31.65,901.58,1675.85,2011.3,1622.88,3197.26,7999.83,11844.44,9980.93,16341.44,18968.47
e_0,5.63,8.75,8.89,8.42,11.68,39.48,1077.01,1422.87,1899.84,1934.62,2986.01,5104.52,14718.47,11453.42,21493.09,28436.97
