,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.07,1.06,0.76,0.91,,0.76,0.56,0.84,,0.69,0.59,0.67,0.68,0.56,0.46
e_1,0.93,1.0,0.72,0.92,0.8,0.91,0.75,0.72,0.59,1.02,0.62,0.59,0.59,0.7,,0.6
f_1,0.94,1.39,1.0,1.16,0.95,0.84,0.6,0.83,0.62,0.6,0.68,,0.51,0.56,0.56,0.44
c_1,1.32,1.08,0.86,1.0,1.39,0.93,0.83,0.63,,0.5,0.7,0.79,0.6,,,0.76
b_1,1.1,1.26,1.05,0.72,1.0,,0.76,0.7,0.82,0.64,,0.66,0.42,0.65,0.83,0.7
a_1,,1.1,1.19,1.08,,1.0,0.71,0.94,0.63,0.81,0.84,0.77,1.01,,,0.59
h_1,1.31,1.33,1.68,1.2,1.32,1.42,1.0,1.24,0.93,0.93,0.79,0.75,,0.67,0.82,0.98
g_1,1.79,1.39,1.21,1.6,1.42,1.06,0.8,1.0,1.15,0.85,1.04,1.29,0.71,0.82,1.07,
c_0,1.19,1.71,1.62,,1.22,1.58,1.08,0.87,1.0,1.05,1.32,0.96,0.93,0.67,0.79,0.76
d_0,,0.98,1.67,2.01,1.56,1.24,1.07,1.17,0.95,1.0,1.17,0.94,0.87,0.96,0.9,0.9
b_0,1.46,1.62,1.47,1.43,,1.19,1.27,0.96,0.76,0.85,1.0,0.82,1.24,1.45,0.84,1.28
f_0,1.68,1.69,,1.26,1.51,1.3,1.34,0.78,1.04,1.07,1.22,1.0,1.16,0.95,1.19,0.58
h_0,1.5,1.7,1.95,1.65,2.4,0.99,,1.4,1.08,1.15,0.8,0.86,,0.86,0.87,1.25
a_0,1.47,1.42,1.78,,1.53,,1.5,1.22,1.49,1.04,0.69,1.06,1.16,1.0,,0.92
e_0,1.8,,1.8,,1.2,,1.21,0.94,1.26,1.12,1.19,0.84,1.15,,1.0,1.16
g_0,2.17,1.66,2.25,1.32,1.44,1.7,1.02,,1.32,1.11,0.78,1.72,0.8,1.09,0.86,
