,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,6.04,0.98,1.48,1.62,1.29,0.92,4.47,12.19,5.92,4.95,5.53,7.16,9.71,12.07,3.08,7.31
d_1,1.04,6.26,1.25,0.99,1.24,1.24,4.62,2.42,12.28,5.03,7.79,7.52,10.02,8.9,9.66,7.76
f_1,2.25,1.15,6.25,1.42,0.93,1.55,4.08,5.07,5.23,3.97,5.29,1.66,10.23,7.7,5.19,6.4
c_1,1.19,1.07,1.31,6.33,2.64,0.99,5.49,5.25,2.11,4.5,4.47,6.57,8.13,8.17,6.44,5.84
b_1,1.29,1.38,1.47,1.03,7.42,2.51,4.09,5.4,4.99,4.71,2.36,5.77,8.66,8.23,4.51,4.7
a_1,1.45,1.35,1.43,1.32,0.81,10.77,5.42,6.42,6.4,4.95,6.83,7.34,8.11,9.09,5.73,3.04
h_1,1.6,1.57,1.95,1.63,1.45,1.38,15.98,7.02,6.34,7.01,7.35,7.57,6.47,13.43,8.15,9.38
d_0,1.43,0.64,1.88,3.16,1.57,1.48,6.02,15.37,4.91,5.32,7.8,6.54,11.21,9.68,6.55,10.06
c_0,1.67,1.99,1.66,1.08,1.44,1.65,5.36,7.6,15.37,5.02,15.52,9.43,11.0,11.49,9.48,9.88
g_1,1.08,2.69,1.28,1.71,1.43,1.11,5.87,6.7,7.14,20.14,7.74,12.64,8.15,7.78,8.74,7.74
b_0,1.46,1.82,1.77,1.7,0.88,1.08,7.69,6.92,7.46,5.63,18.43,9.19,12.67,12.6,7.4,18.9
f_0,1.55,2.04,0.71,1.58,1.81,1.47,6.82,8.03,8.17,5.47,8.89,18.39,12.11,15.51,15.23,8.75
h_0,1.78,1.79,2.27,1.6,1.36,1.41,3.37,7.64,7.42,7.97,7.47,7.83,6.42,15.29,6.83,7.26
g_0,1.22,2.76,1.2,1.81,1.44,1.63,6.75,6.61,7.27,4.35,6.47,12.56,10.97,5.83,7.14,7.97
e_0,0.74,1.79,1.62,1.88,1.57,1.91,6.87,6.65,8.79,6.1,9.87,10.03,16.47,15.2,26.7,8.81
a_0,1.38,1.76,1.4,1.89,1.81,1.04,6.52,8.38,7.84,6.52,8.53,8.75,13.51,11.95,8.41,25.04
