,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.24,1.04,0.88,0.75,0.79,0.45,0.39,0.36,0.39,0.35,,0.3,0.27,0.35,0.22
e_1,0.81,1.0,0.76,0.67,0.83,0.69,0.49,0.59,0.52,0.39,0.35,0.45,0.4,,0.38,0.28
c_1,0.96,1.32,1.0,1.11,1.37,0.93,0.52,0.34,0.44,,0.39,0.36,0.36,0.25,0.27,0.33
d_1,1.13,1.49,0.9,1.0,0.81,0.68,0.55,,0.39,0.61,0.52,0.32,0.4,0.38,0.34,0.26
b_1,1.33,1.2,0.73,1.23,1.0,1.36,0.46,0.58,0.47,0.48,,0.44,0.37,0.36,0.28,0.33
a_1,1.27,1.45,1.08,1.47,0.73,1.0,0.7,0.69,0.57,,0.5,0.6,0.56,0.41,,
h_1,2.2,2.06,1.94,1.8,2.19,1.43,1.0,0.85,0.95,0.99,0.7,0.71,,0.57,0.55,0.64
d_0,2.56,1.69,2.98,,1.73,1.44,1.18,1.0,0.96,1.07,0.77,0.66,0.78,0.85,0.67,0.71
g_1,2.77,1.92,2.26,2.54,2.15,1.76,1.05,1.05,1.0,1.0,0.9,0.93,0.67,0.71,0.72,
c_0,2.57,2.57,,1.63,2.1,,1.01,0.94,1.0,1.0,1.38,1.2,0.75,0.7,0.75,0.74
b_0,2.84,2.85,2.58,1.94,,2.02,1.42,1.3,1.11,0.73,1.0,0.94,0.81,0.9,1.32,0.89
f_0,,2.25,2.78,3.08,2.26,1.66,1.41,1.51,1.07,0.83,1.07,1.0,0.78,1.31,,0.6
h_0,3.38,2.52,2.74,2.5,2.73,1.78,,1.29,1.5,1.34,1.24,1.29,,1.12,,1.32
e_0,3.77,,4.01,2.6,2.76,2.43,1.76,1.18,1.42,1.42,1.11,0.76,0.89,1.0,,0.8
a_0,2.89,2.63,3.72,2.97,3.55,,1.83,1.48,1.39,1.33,0.76,,,,1.0,
g_0,4.49,3.52,3.02,3.89,3.04,,1.56,1.4,,1.36,1.13,1.68,0.76,1.24,,
