,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.22,0.95,0.96,0.87,0.76,0.41,0.39,0.47,0.41,0.39,0.33,0.27,0.32,0.32,0.4
e_1,0.82,1.0,0.89,1.07,0.92,0.77,0.52,0.47,0.41,0.59,0.4,0.48,0.39,0.3,0.42,0.34
d_1,1.06,1.12,1.0,0.86,0.81,0.74,0.54,0.58,0.32,0.52,0.49,0.39,0.38,0.34,0.36,0.29
c_1,1.04,0.93,1.17,1.0,1.78,0.69,0.52,0.44,0.46,0.3,0.39,0.37,0.38,0.33,0.29,0.39
b_1,1.15,1.08,1.23,0.56,1.0,1.31,0.65,0.48,0.5,0.51,0.41,0.38,0.47,0.36,0.34,0.36
a_1,1.32,1.3,1.36,1.44,0.76,1.0,0.65,0.56,0.56,0.63,0.54,0.65,0.55,0.55,0.39,0.44
h_1,2.53,1.84,1.95,1.96,1.55,1.46,1.0,0.81,1.18,0.73,0.81,0.66,0.67,0.77,0.63,0.65
c_0,2.61,2.16,1.7,2.56,2.06,1.82,1.22,1.0,1.21,1.19,1.25,0.88,0.92,0.86,0.72,0.68
g_1,2.03,2.23,2.97,2.14,1.99,1.74,0.85,0.87,1.0,0.8,0.85,1.01,0.64,0.64,0.6,0.48
d_0,2.34,1.71,1.89,3.45,1.95,1.56,1.45,0.86,1.22,1.0,1.05,0.85,0.76,0.81,0.67,0.58
b_0,2.56,2.55,2.09,2.57,2.61,1.69,1.26,0.8,1.19,0.93,1.0,0.95,1.04,1.28,0.95,0.63
f_0,3.01,2.07,2.58,2.74,2.56,1.57,1.51,1.1,0.97,1.05,1.04,1.0,1.09,1.06,1.31,0.67
h_0,3.74,2.46,2.67,2.65,2.15,1.83,1.55,1.09,1.52,1.3,0.95,0.96,1.0,0.77,1.08,1.03
a_0,3.28,3.22,2.72,3.06,2.76,,1.29,1.15,1.58,1.32,0.82,1.0,1.33,1.0,0.99,1.05
e_0,3.13,2.37,2.71,3.59,2.92,2.46,1.69,1.33,1.73,1.47,1.08,0.81,0.93,1.05,1.0,1.03
g_0,2.64,2.96,3.72,2.83,2.73,2.23,1.55,1.4,1.92,1.74,1.53,1.51,0.96,1.02,0.99,1.0
