,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,9.45,9.53,9.57,9.29,8.45,2.38,3.08,2.57,2.47,2.29,,1.49,1.97,2.39,2.28
d_1,8.04,1.07,10.54,10.7,8.65,7.35,3.27,2.43,3.11,,2.83,2.64,2.5,2.82,2.07,1.26
e_1,6.07,10.74,1.07,10.52,9.23,9.11,3.7,3.17,2.98,2.98,2.19,3.07,2.27,1.93,,3.56
c_1,9.18,9.67,10.18,1.07,13.75,9.48,3.3,3.79,,1.94,3.41,2.7,2.42,3.02,2.52,3.05
b_1,13.51,12.58,11.86,6.38,1.07,12.6,4.8,2.74,4.0,3.75,,4.11,2.24,3.65,3.03,1.85
a_1,15.66,15.22,15.43,12.28,7.38,1.07,7.56,6.45,3.62,4.55,4.88,5.15,3.82,,,
h_1,16.99,16.59,14.72,16.09,11.42,10.77,1.41,4.68,4.86,3.79,3.61,3.03,,3.53,3.29,2.97
g_1,17.67,17.15,17.35,14.62,25.08,10.99,4.47,1.41,5.15,5.04,4.19,4.23,2.87,5.86,3.48,
c_0,14.22,8.88,15.5,,13.27,12.92,5.35,5.68,1.71,5.1,4.76,3.63,3.82,5.42,4.94,2.41
d_0,15.36,,9.67,15.75,13.88,14.21,5.81,9.35,4.32,1.71,4.54,4.73,3.27,3.37,4.32,3.67
b_0,21.54,14.53,17.18,15.15,,13.89,6.18,5.91,3.49,5.02,1.75,5.34,3.06,6.21,4.27,3.15
f_0,,19.15,18.47,16.78,12.84,13.13,8.49,4.67,5.98,5.54,4.69,1.78,4.86,4.3,5.01,2.45
h_0,18.17,13.53,16.01,15.86,14.14,10.81,,6.36,3.81,4.07,4.97,3.58,,3.78,4.46,3.3
a_0,26.29,20.96,22.77,23.91,17.71,,8.69,6.92,4.72,7.66,3.61,5.31,5.42,1.73,,4.82
e_0,26.44,23.94,,22.48,23.1,,7.07,10.58,7.07,5.54,7.23,3.55,4.52,,1.7,
g_0,18.7,24.52,16.7,13.81,19.54,,5.8,,6.34,5.85,6.53,5.67,3.45,4.44,,
