,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.18,8.52,16.03,10.84,11.18,11.53,3.61,4.26,2.34,2.72,2.84,3.29,2.42,1.79,,1.95
f_1,10.61,0.18,10.41,19.67,16.44,13.64,2.25,3.29,2.86,3.74,3.24,,2.4,1.19,2.26,1.73
d_1,15.14,11.05,0.17,13.29,10.21,17.35,3.66,2.44,2.62,,2.5,2.62,1.9,1.68,2.92,1.47
c_1,13.8,14.59,18.27,0.14,13.86,9.66,3.54,2.74,,1.31,2.95,2.54,2.63,1.53,3.13,2.07
b_1,12.16,10.27,11.06,7.23,0.13,14.04,4.67,4.15,3.07,2.47,,2.88,4.34,1.54,2.85,1.88
a_1,12.53,11.46,13.88,14.49,6.19,0.09,4.78,3.37,3.02,2.77,3.21,2.51,,2.82,,2.26
h_1,3.61,3.68,3.01,3.9,3.54,2.76,0.08,1.23,0.63,0.76,0.63,0.56,0.54,,0.5,0.42
g_1,4.41,4.23,3.19,3.42,3.63,4.67,0.71,0.06,0.57,0.57,0.6,1.04,0.76,0.37,0.68,
c_0,2.58,2.33,1.52,,3.2,2.23,0.66,0.68,0.08,0.56,0.68,0.67,0.58,0.42,0.65,0.22
d_0,1.24,2.86,,1.97,2.98,2.49,0.68,0.71,0.65,0.08,0.64,0.53,0.71,0.29,0.5,0.65
b_0,2.75,2.43,2.5,2.36,,2.36,0.58,1.03,0.3,0.53,0.07,0.46,0.73,0.45,0.53,0.33
f_0,2.82,,2.3,2.19,2.75,3.65,0.73,0.44,0.5,0.46,0.49,0.06,0.51,0.57,,0.22
a_0,3.26,2.59,2.62,4.38,3.67,,0.6,1.06,0.77,0.54,0.24,0.61,0.05,0.26,,0.3
h_0,2.18,1.78,2.02,1.58,1.39,1.63,,0.4,0.39,0.27,0.3,0.27,0.32,,0.26,0.31
e_0,,3.39,2.92,2.58,3.32,,0.68,0.64,0.54,0.52,0.45,,,0.49,0.04,0.36
g_0,2.44,1.94,1.81,1.87,1.55,1.78,0.53,,0.25,0.47,0.26,0.3,0.38,0.16,0.36,
