,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.11,5.66,4.77,4.19,4.06,3.79,1.24,0.77,0.8,2.15,0.84,0.78,0.54,0.78,0.78,0.37
e_1,4.95,1.12,2.5,4.98,5.15,4.17,1.58,1.57,0.91,0.92,0.92,1.24,0.7,0.93,2.13,0.83
f_1,4.03,4.28,1.11,4.85,4.65,4.1,0.96,2.35,0.93,0.91,0.86,1.93,0.44,0.88,0.87,0.73
c_1,6.28,4.34,5.13,1.12,5.6,5.41,1.51,1.26,1.78,0.59,1.2,1.16,0.69,1.02,0.95,0.83
b_1,6.3,5.54,6.59,3.28,1.13,7.77,1.67,1.79,1.44,1.31,3.02,1.21,0.83,1.37,1.48,1.07
a_1,9.61,7.62,10.77,8.59,4.12,1.14,2.32,2.46,1.78,1.91,2.38,1.36,1.89,3.67,1.6,1.32
h_1,12.73,15.31,18.88,13.82,12.35,12.84,1.72,4.82,3.33,3.02,2.82,2.46,3.69,2.49,2.31,2.28
g_1,16.12,18.88,22.65,19.99,17.71,15.79,3.76,1.72,3.92,3.53,3.98,3.09,2.08,3.61,4.05,3.53
c_0,9.9,20.27,19.61,36.56,20.59,19.65,5.8,5.06,2.17,5.47,3.51,3.52,2.59,3.01,3.82,2.5
d_0,34.69,10.78,20.41,23.06,23.71,18.52,6.04,7.33,4.28,2.3,4.45,4.46,3.27,3.95,4.71,3.47
b_0,14.99,20.62,20.9,30.28,34.05,20.93,5.62,6.23,2.23,5.47,2.19,4.35,4.7,4.11,4.31,3.1
f_0,20.23,19.82,41.8,21.41,25.06,21.89,6.54,3.93,4.5,4.84,5.05,2.23,3.75,4.19,4.13,2.18
h_0,29.14,26.43,30.01,31.23,35.89,20.93,13.48,8.69,5.71,5.99,5.18,5.01,6.79,4.88,5.0,4.5
a_0,25.29,25.67,36.57,37.95,46.6,44.79,11.68,7.41,5.28,6.62,3.1,5.66,4.04,2.55,5.7,3.78
e_0,28.45,57.55,43.35,38.94,24.82,22.93,8.11,7.18,5.81,5.52,7.07,2.72,5.63,6.1,2.41,4.34
g_0,28.9,33.35,48.1,32.59,31.25,27.91,7.36,13.54,6.7,6.69,6.07,7.35,3.82,7.55,6.33,5.25
