,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.51,1.47,2.07,1.48,1.73,1.63,3.36,5.42,3.71,3.44,3.82,4.1,4.37,4.2,3.81,4.6
f_1,2.39,2.55,1.58,1.7,1.42,1.58,2.95,3.46,3.43,3.39,3.55,2.61,4.03,4.02,2.7,4.64
c_1,1.4,1.67,2.56,1.69,2.7,1.69,2.93,3.04,2.73,2.98,2.45,3.65,4.37,3.72,3.62,4.55
d_1,1.73,1.73,1.51,2.57,1.77,1.56,3.11,2.99,5.1,3.02,4.29,3.78,4.65,3.57,4.03,3.98
b_1,1.64,1.95,1.37,1.75,2.77,2.81,3.46,3.37,4.19,3.29,3.22,3.56,4.5,2.97,3.68,4.59
a_1,1.73,1.83,1.78,1.78,1.26,3.17,3.64,3.88,3.38,3.53,3.88,4.14,5.13,3.18,4.46,4.49
h_1,1.69,2.08,1.82,1.76,1.64,1.48,4.36,3.43,3.32,4.12,3.53,3.61,4.21,3.95,4.14,5.5
d_0,1.49,1.61,2.52,1.48,1.89,1.64,3.24,4.48,2.88,3.25,3.61,3.79,5.0,3.89,4.12,5.02
c_0,1.75,1.93,1.75,1.68,1.36,1.75,3.6,4.11,4.43,3.26,5.81,3.56,5.17,5.06,4.51,4.86
g_1,1.64,1.52,1.75,2.37,1.61,1.63,2.91,3.42,3.69,4.76,3.75,5.03,4.42,3.72,4.12,4.07
b_0,1.62,1.78,2.19,1.72,1.61,1.37,3.47,3.74,3.12,3.44,4.81,3.55,5.01,6.47,3.86,4.85
f_0,1.46,1.76,1.98,1.72,1.96,1.69,3.54,3.8,3.71,3.07,3.93,4.97,5.23,4.12,6.7,4.23
h_0,1.65,2.16,1.82,1.79,1.75,1.51,2.9,3.37,3.32,3.7,3.68,3.59,4.39,4.09,3.84,5.48
a_0,1.65,1.95,1.72,1.88,1.91,1.55,3.59,3.54,3.37,3.6,3.37,3.83,5.37,5.48,3.82,4.63
e_0,1.51,2.07,1.7,1.72,1.72,1.75,3.59,3.39,3.44,3.42,3.99,3.25,4.81,4.77,5.46,4.77
g_0,1.52,1.69,1.64,2.18,1.78,1.6,3.19,3.15,3.63,3.63,3.78,5.03,4.24,4.39,4.67,4.45
