,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,12.65,12.78,11.51,12.86,13.22,2.61,3.45,2.19,2.29,3.03,,1.27,2.95,2.36,2.8
e_1,7.23,0.17,15.51,14.72,15.42,19.03,3.76,3.78,2.67,2.57,2.24,2.64,1.45,,3.33,1.56
d_1,11.95,15.07,0.17,15.58,11.52,11.96,3.41,2.18,3.05,,2.78,2.33,1.62,3.66,1.99,1.33
c_1,12.44,12.27,13.22,0.14,13.23,13.77,3.52,4.17,,1.24,3.44,2.33,1.8,3.51,2.6,1.67
b_1,13.24,17.27,9.27,6.38,0.14,13.46,3.56,4.08,2.42,2.8,,2.71,2.46,3.69,2.54,1.78
a_1,12.62,16.65,12.53,11.02,6.95,0.09,3.54,3.3,3.8,3.0,,3.63,1.79,,,1.51
h_1,3.09,3.27,3.82,3.41,3.56,2.9,0.07,0.79,0.7,0.67,0.51,0.99,,0.49,0.8,0.46
g_1,3.56,3.21,4.36,3.37,3.17,4.8,0.79,0.06,0.68,0.69,0.64,1.08,0.34,0.69,0.56,
c_0,2.71,2.75,1.12,,3.48,2.35,0.88,1.03,0.09,0.64,0.67,0.46,0.3,0.38,0.48,0.34
d_0,3.13,1.43,,2.4,1.97,1.87,0.63,1.05,0.51,0.08,0.35,0.49,0.32,0.83,0.87,0.58
b_0,2.22,2.24,2.87,2.67,,,0.91,0.58,0.29,0.55,0.08,0.43,0.37,0.54,0.58,0.33
f_0,,2.73,2.78,3.01,2.02,3.63,0.55,0.42,0.56,0.64,0.48,0.07,0.36,,0.54,0.21
h_0,1.32,1.69,2.23,1.86,2.34,1.6,,0.6,0.32,0.3,0.27,0.26,,,0.38,0.24
e_0,4.76,,2.25,2.58,3.0,,0.95,0.74,0.5,0.37,0.42,,,0.05,0.45,0.45
a_0,3.93,3.14,3.72,3.12,2.69,,0.5,0.8,0.52,0.64,0.26,0.58,0.46,0.33,0.05,0.32
g_0,2.19,1.79,2.39,1.82,1.78,1.61,0.35,,0.3,0.34,0.42,0.32,0.18,0.32,0.32,
