,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,4.38,4.64,4.98,4.97,4.96,0.86,1.54,1.04,0.89,0.75,2.33,0.51,0.81,0.83,0.82
e_1,2.78,1.13,5.7,6.15,5.17,4.58,2.06,1.5,1.06,1.09,1.09,1.52,0.91,1.09,2.04,1.0
d_1,6.08,7.32,1.12,5.27,5.7,5.09,1.45,0.91,2.77,1.18,1.07,1.05,0.75,1.24,1.27,0.47
c_1,6.81,4.93,7.16,1.13,5.84,5.8,2.1,1.85,0.65,2.34,1.38,1.05,0.79,1.2,1.22,0.83
b_1,8.43,6.16,7.0,3.35,1.14,7.15,1.92,2.91,1.5,1.69,5.42,1.36,1.31,1.57,1.75,1.0
a_1,12.11,11.11,10.72,13.21,4.4,1.15,3.19,2.81,2.53,2.26,2.46,1.86,1.57,5.78,2.16,1.83
h_1,16.64,19.72,12.6,16.63,18.49,15.14,1.8,5.32,3.84,3.29,3.11,3.15,3.84,3.54,2.95,2.85
g_1,24.22,23.19,18.66,22.58,22.93,26.87,4.32,1.8,4.92,4.08,3.84,3.66,2.06,3.39,3.58,3.56
d_0,23.05,11.31,45.86,27.76,30.15,23.27,8.81,10.32,2.39,4.05,4.73,4.26,3.59,4.73,4.39,4.38
c_0,25.68,21.69,13.05,67.24,26.17,21.2,7.61,7.89,7.64,2.47,4.57,5.0,3.59,5.31,4.1,3.29
b_0,25.51,26.34,23.25,34.78,59.02,25.78,6.9,9.36,5.19,2.71,2.48,5.31,3.81,5.24,3.8,3.93
f_0,54.67,26.72,23.76,28.55,30.15,31.8,8.56,5.05,6.07,4.74,5.32,2.31,4.25,6.89,4.15,2.41
h_0,33.57,28.8,26.63,32.89,40.79,28.06,17.45,9.75,6.76,6.55,6.83,6.19,7.25,6.14,5.68,4.38
a_0,35.11,36.87,31.75,38.79,79.26,73.38,10.72,11.7,6.69,5.55,3.79,6.93,5.26,2.49,7.85,5.26
e_0,53.9,60.44,33.69,40.35,38.0,30.29,11.71,9.36,10.14,7.33,8.13,3.71,5.39,8.36,2.58,6.45
g_0,44.5,40.08,37.95,48.81,47.83,34.69,8.99,17.55,9.01,7.33,8.25,8.25,4.7,10.62,7.85,8.14
