,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.44,0.3,0.44,0.36,0.21,0.38,0.61,0.27,0.32,0.32,0.3,0.4,0.3,0.18,0.28
f_1,0.68,0.92,0.35,0.33,0.3,0.22,0.32,0.39,0.26,0.35,0.32,0.21,0.32,0.23,0.18,0.27
d_1,0.4,0.51,0.92,0.3,0.29,0.25,0.37,0.3,0.27,0.6,0.4,0.29,0.38,0.25,0.24,0.31
c_1,0.36,0.39,0.36,0.91,0.6,0.28,0.32,0.37,0.26,0.19,0.23,0.28,0.36,0.21,0.21,0.29
b_1,0.35,0.4,0.38,0.39,0.9,0.49,0.35,0.34,0.27,0.31,0.21,0.32,0.35,0.19,0.21,0.33
a_1,0.45,0.45,0.41,0.38,0.32,0.89,0.39,0.39,0.33,0.31,0.31,0.33,0.4,0.18,0.28,0.35
h_1,0.44,0.6,0.45,0.35,0.37,0.25,0.63,0.38,0.4,0.34,0.31,0.31,0.28,0.24,0.23,0.38
d_0,0.41,0.44,0.34,0.65,0.44,0.23,0.36,0.58,0.26,0.23,0.31,0.3,0.4,0.25,0.25,0.33
g_1,0.41,0.44,0.61,0.32,0.32,0.24,0.39,0.35,0.64,0.41,0.33,0.44,0.39,0.26,0.33,0.27
c_0,0.46,0.52,0.47,0.34,0.29,0.24,0.43,0.47,0.29,0.55,0.6,0.33,0.38,0.33,0.3,0.39
b_0,0.48,0.49,0.46,0.4,0.28,0.23,0.41,0.43,0.37,0.4,0.56,0.3,0.42,0.49,0.28,0.38
f_0,0.42,0.39,0.4,0.39,0.43,0.31,0.44,0.45,0.35,0.35,0.36,0.56,0.43,0.24,0.53,0.36
h_0,0.49,0.56,0.44,0.39,0.38,0.27,0.28,0.39,0.36,0.33,0.31,0.26,0.27,0.21,0.24,0.39
a_0,0.5,0.49,0.43,0.4,0.36,0.18,0.4,0.44,0.3,0.34,0.38,0.32,0.47,0.48,0.27,0.31
e_0,0.42,0.55,0.44,0.37,0.41,0.24,0.36,0.4,0.3,0.38,0.33,0.31,0.43,0.23,0.45,0.4
g_0,0.43,0.45,0.62,0.38,0.35,0.28,0.35,0.37,0.2,0.37,0.37,0.43,0.37,0.29,0.26,0.28
